year,age_group,category,a,b,c,d,hki_total,e,f,g,kle_total,h,j,klw_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
2005,18-20,F,"1,052",510,"3,312","1,689","6,563","1,070","1,763","1,614","4,447","2,415","3,142","5,557","1,346","3,836","3,803","3,108",537,"12,630","2,244","2,508","2,419","4,236","11,407","40,604"
2005,18-20,M,"1,099",478,"3,188","1,557","6,322","1,075","1,677","1,574","4,326","2,558","3,371","5,929","1,360","3,729","3,702","3,089",541,"12,421","2,211","2,424","2,478","4,046","11,159","40,157"
2005,21-25,F,"3,033","1,405","8,962","4,411","17,811","2,914","4,599","4,268","11,781","6,843","9,195","16,038","3,553","9,684","7,973","8,561","1,504","31,275","5,923","6,754","5,654","12,221","30,552","107,457"
2005,21-25,M,"2,823","1,385","8,628","4,288","17,124","2,979","4,475","4,017","11,471","6,717","9,535","16,252","3,384","9,643","7,809","8,155","1,392","30,383","5,624","6,404","5,337","11,905","29,270","104,500"
2005,26-30,F,"3,813","2,107","11,269","4,732","21,921","4,326","5,175","5,634","15,135","7,854","10,346","18,200","4,901","10,857","9,048","10,104","1,850","36,760","4,622","5,315","7,095","13,762","30,794","122,810"
2005,26-30,M,"3,829","2,059","11,527","4,929","22,344","4,718","5,377","5,879","15,974","8,178","11,329","19,507","5,196","11,931","9,390","10,931","1,874","39,322","4,931","5,620","6,886","14,685","32,122","129,269"
2005,31-35,F,"4,614","2,447","12,528","5,297","24,886","5,085","5,352","6,673","17,110","8,728","11,054","19,782","6,002","8,823","9,954","11,042","2,294","38,115","5,184","4,718","9,862","12,540","32,304","132,197"
2005,31-35,M,"4,425","2,526","12,479","5,404","24,834","5,712","5,855","7,136","18,703","9,333","11,930","21,263","6,065","9,026","10,374","12,780","2,250","40,495","5,162","4,697","9,406","12,413","31,678","136,973"
2005,36-40,F,"5,502","2,941","14,823","6,727","29,993","4,988","6,096","7,488","18,572","10,324","12,762","23,086","7,161","11,717","12,579","10,939","2,750","45,146","7,454","7,011","11,099","14,977","40,541","157,338"
2005,36-40,M,"4,966","2,759","13,849","6,330","27,904","5,449","6,392","7,265","19,106","10,932","13,810","24,742","6,737","10,727","12,500","12,058","2,824","44,846","6,875","6,034","10,889","13,463","37,261","153,859"
2005,41-45,F,"7,025","3,869","20,508","8,866","40,268","5,781","8,282","9,526","23,589","14,635","16,375","31,010","8,722","17,600","16,090","13,708","3,326","59,446","10,609","12,096","13,284","22,109","58,098","212,411"
2005,41-45,M,"6,689","3,583","19,332","8,580","38,184","6,044","8,662","9,350","24,056","15,656","17,217","32,873","8,923","16,414","17,683","14,195","3,688","60,903","10,092","10,136","13,689","20,024","53,941","209,957"
2005,46-50,F,"6,844","4,088","19,547","8,722","39,201","5,675","8,926","9,003","23,604","13,292","15,900","29,192","7,542","18,077","13,750","14,000","3,025","56,394","10,020","11,706","11,373","22,403","55,502","203,893"
2005,46-50,M,"7,118","3,945","19,825","8,717","39,605","5,984","9,608","9,042","24,634","14,529","16,624","31,153","7,877","17,472","16,999","14,380","3,538","60,266","10,568","11,807","12,699","21,597","56,671","212,329"
2005,51-55,F,"5,896","3,774","16,963","7,000","33,633","5,194","7,084","8,182","20,460","9,811","13,641","23,452","5,911","14,245","9,137","11,710","2,170","43,173","6,169","7,777","7,768","18,290","40,004","160,722"
2005,51-55,M,"6,321","3,929","17,021","7,356","34,627","5,752","8,255","8,005","22,012","10,669","14,085","24,754","6,193","15,235","11,693","11,887","2,792","47,800","7,870","8,933","8,950","18,317","44,070","173,263"
2005,56-60,F,"4,213","2,945","12,657","5,132","24,947","4,319","5,284","6,787","16,390","7,286","10,423","17,709","4,564","7,237","5,276","9,897","1,330","28,304","3,230","3,959","5,017","11,361","23,567","110,917"
2005,56-60,M,"4,911","3,246","13,393","5,287","26,837","4,512","6,008","6,650","17,170","7,410","10,504","17,914","4,710","10,004","7,213","9,473","1,839","33,239","4,472","5,319","6,080","13,059","28,930","124,090"
2005,61-65,F,"2,274","1,790","7,536","2,965","14,565","2,800","3,654","4,670","11,124","5,381","7,682","13,063","2,975","3,541","3,228","6,781",832,"17,357","1,989","2,158","3,059","5,897","13,103","69,212"
2005,61-65,M,"2,737","2,033","8,650","3,216","16,636","3,483","4,573","5,107","13,163","6,042","9,780","15,822","3,691","6,274","5,079","8,756","1,133","24,933","3,003","3,241","3,932","8,286","18,462","89,016"
2005,66-70,F,"2,374","1,900","8,102","3,452","15,828","3,046","4,324","5,106","12,476","7,671","8,843","16,514","2,887","3,296","3,524","6,222",912,"16,841","2,320","2,260","2,893","5,759","13,232","74,891"
2005,66-70,M,"2,929","2,110","9,121","3,792","17,952","3,867","5,519","5,726","15,112","6,952","10,698","17,650","3,561","4,793","4,594","8,365","1,177","22,490","2,845","2,941","3,489","7,245","16,520","89,724"
