,Counts
"('04/06/2014-945', 'Present')",17
"('03/06/2015-2', 'Present')",15
"('04/06/2014-946', 'Present')",14
"('03/06/2015-1', 'Present')",14
"('04/06/2014-947', 'Present')",13
"('21/05/2015-253', 'Present')",13
"('07/05/2014-1', 'Present')",12
"('21/05/2015-250', 'Present')",12
"('21/05/2015-189', 'Present')",12
"('21/05/2015-191', 'Present')",12
"('21/05/2015-186', 'Present')",12
"('21/05/2015-255', 'Present')",12
"('21/05/2015-187', 'Present')",12
"('21/05/2015-188', 'Present')",12
"('21/05/2015-197', 'Present')",12
"('21/05/2015-190', 'Present')",12
"('21/05/2015-185', 'Present')",12
"('21/05/2015-184', 'Present')",12
"('21/05/2015-241', 'Present')",11
"('21/05/2015-193', 'Present')",11
"('04/06/2014-948', 'Present')",11
"('30/05/2014-843', 'Present')",11
"('21/05/2015-252', 'Present')",11
"('21/05/2015-251', 'Present')",11
"('21/05/2015-199', 'Present')",11
"('22/05/2015-424', 'Present')",11
"('21/05/2015-260', 'Present')",11
"('30/05/2014-906', 'Present')",11
"('21/05/2015-242', 'Present')",11
"('21/05/2015-258', 'Present')",11
"('21/05/2015-239', 'Present')",11
"('30/05/2014-918', 'Present')",11
"('30/05/2014-822', 'Present')",11
"('21/05/2015-240', 'Present')",11
"('30/05/2014-919', 'Present')",11
"('21/05/2015-198', 'Present')",11
"('30/05/2014-920', 'Present')",11
"('21/05/2015-194', 'Present')",11
"('21/05/2015-254', 'Present')",11
"('30/05/2014-917', 'Present')",11
"('21/05/2015-247', 'Present')",11
"('30/05/2014-913', 'Present')",11
"('21/05/2015-257', 'Present')",11
"('21/05/2015-200', 'Present')",11
"('21/05/2015-249', 'Present')",11
"('21/05/2015-195', 'Present')",11
"('29/05/2014-642', 'Present')",11
"('21/05/2015-248', 'Present')",11
"('21/05/2015-196', 'Present')",11
"('21/05/2015-212', 'Present')",11
"('16/05/2013-685', 'Present')",10
"('30/05/2014-911', 'Present')",10
"('30/05/2014-934', 'Present')",10
"('30/05/2014-828', 'Present')",10
"('30/05/2014-895', 'Present')",10
"('30/05/2014-909', 'Present')",10
"('30/05/2014-915', 'Present')",10
"('22/05/2015-419', 'Present')",10
"('30/05/2014-847', 'Present')",10
"('30/05/2014-935', 'Present')",10
"('22/05/2015-423', 'Present')",10
"('30/05/2014-942', 'Present')",10
"('21/05/2015-172', 'Present')",10
"('21/05/2015-206', 'Present')",10
"('29/05/2014-687', 'Present')",10
"('21/05/2015-209', 'Present')",10
"('30/05/2014-823', 'Present')",10
"('21/05/2015-208', 'Present')",10
"('30/05/2014-914', 'Present')",10
"('21/05/2015-244', 'Present')",10
"('30/05/2014-845', 'Present')",10
"('21/05/2015-204', 'Present')",10
"('21/05/2015-205', 'Present')",10
"('30/05/2014-820', 'Present')",10
"('16/05/2013-684', 'Present')",10
"('30/05/2014-923', 'Present')",10
"('29/05/2014-690', 'Present')",10
"('30/05/2014-922', 'Present')",10
"('30/05/2014-904', 'Present')",10
"('30/05/2014-842', 'Present')",10
"('30/05/2014-921', 'Present')",10
"('30/05/2014-943', 'Present')",10
"('30/05/2014-846', 'Present')",10
"('30/05/2014-910', 'Present')",10
"('21/05/2015-217', 'Present')",10
"('30/05/2014-912', 'Present')",10
"('30/05/2014-803', 'Present')",10
"('30/05/2014-844', 'Present')",10
"('30/05/2014-930', 'Present')",10
"('30/05/2014-908', 'Present')",10
"('21/05/2015-259', 'Present')",10
"('30/05/2014-840', 'Present')",10
"('28/05/2014-367', 'Present')",10
"('21/05/2015-171', 'Present')",10
"('21/05/2015-203', 'Present')",10
"('11/05/2016-31', 'Present')",10
"('30/05/2014-939', 'Present')",10
"('30/05/2014-938', 'Present')",10
"('30/05/2014-821', 'Present')",10
"('29/05/2014-688', 'Present')",10
"('29/05/2014-689', 'Present')",10
"('27/05/2015-448', 'Present')",10
"('30/05/2014-841', 'Present')",10
"('30/05/2014-937', 'Present')",10
"('30/05/2014-936', 'Present')",10
"('22/05/2015-440', 'Present')",10
"('29/05/2014-686', 'Present')",10
"('22/05/2015-421', 'Present')",10
"('30/05/2014-916', 'Present')",10
"('22/05/2015-442', 'Present')",10
"('21/05/2015-192', 'Present')",10
"('21/05/2015-245', 'Present')",10
"('21/05/2015-215', 'Present')",10
"('22/05/2015-441', 'Present')",10
"('21/05/2015-163', 'Present')",9
"('21/05/2015-164', 'Present')",9
"('16/05/2013-683', 'Present')",9
"('30/05/2014-892', 'Present')",9
"('30/05/2014-940', 'Present')",9
"('22/05/2015-434', 'Present')",9
"('21/05/2015-218', 'Present')",9
"('21/05/2015-271', 'Present')",9
"('22/05/2015-348', 'Present')",9
"('22/05/2015-416', 'Present')",9
"('30/05/2014-824', 'Present')",9
"('30/05/2014-833', 'Present')",9
"('22/05/2015-413', 'Present')",9
"('30/05/2014-933', 'Present')",9
"('22/05/2015-414', 'Present')",9
"('30/05/2014-814', 'Present')",9
"('30/05/2014-836', 'Present')",9
"('21/05/2015-232', 'Present')",9
"('22/05/2015-437', 'Present')",9
"('21/05/2015-168', 'Present')",9
"('22/05/2015-428', 'Present')",9
"('22/05/2015-364', 'Present')",9
"('30/05/2014-830', 'Present')",9
"('30/05/2014-819', 'Present')",9
"('21/05/2015-286', 'Present')",9
"('22/05/2015-443', 'Present')",9
"('30/05/2014-907', 'Present')",9
"('30/05/2014-716', 'Present')",9
"('28/05/2014-355', 'Present')",9
"('21/05/2015-175', 'Present')",9
"('30/05/2014-832', 'Present')",9
"('29/05/2014-646', 'Present')",9
"('21/05/2015-265', 'Present')",9
"('22/05/2015-422', 'Present')",9
"('21/05/2015-182', 'Present')",9
"('22/05/2015-415', 'Present')",9
"('30/05/2014-835', 'Present')",9
"('29/05/2014-643', 'Present')",9
"('21/05/2015-298', 'Present')",9
"('28/05/2014-354', 'Present')",9
"('22/05/2015-400', 'Present')",9
"('22/05/2015-349', 'Present')",9
"('30/05/2014-924', 'Present')",9
"('21/05/2015-246', 'Present')",9
"('28/05/2014-365', 'Present')",9
"('21/05/2015-162', 'Present')",9
"('22/05/2015-420', 'Present')",9
"('11/05/2016-34', 'Present')",9
"('29/05/2014-636', 'Present')",9
"('30/05/2014-815', 'Present')",9
"('30/05/2014-881', 'Present')",9
"('30/05/2014-880', 'Present')",9
"('22/05/2015-436', 'Present')",9
"('21/05/2015-285', 'Present')",9
"('11/05/2016-36', 'Present')",9
"('22/05/2015-446', 'Present')",9
"('30/05/2014-733', 'Present')",9
"('22/05/2015-447', 'Present')",9
"('30/05/2014-834', 'Present')",9
"('30/05/2014-894', 'Present')",9
"('29/05/2014-639', 'Present')",9
"('21/05/2015-174', 'Present')",9
"('30/05/2014-798', 'Present')",9
"('29/05/2014-637', 'Present')",9
"('30/05/2014-839', 'Present')",9
"('29/05/2014-638', 'Present')",9
"('11/05/2016-32', 'Present')",9
"('28/05/2014-366', 'Present')",9
"('21/05/2015-207', 'Present')",9
"('11/05/2016-26', 'Present')",9
"('21/05/2015-233', 'Present')",9
"('29/05/2014-641', 'Present')",9
"('29/05/2014-644', 'Present')",9
"('30/05/2014-926', 'Present')",9
"('30/05/2014-882', 'Present')",9
"('21/05/2015-263', 'Present')",9
"('21/05/2015-173', 'Present')",9
"('30/05/2014-827', 'Present')",9
"('30/05/2014-829', 'Present')",9
"('22/05/2015-417', 'Present')",9
"('21/05/2015-267', 'Present')",9
"('30/05/2014-891', 'Present')",9
"('28/05/2014-363', 'Present')",9
"('22/05/2015-340', 'Present')",9
"('29/05/2014-659', 'Present')",9
"('22/05/2015-432', 'Present')",9
"('30/05/2014-944', 'Present')",9
"('30/05/2014-883', 'Present')",9
"('21/05/2015-262', 'Present')",9
"('22/05/2015-427', 'Present')",9
"('21/05/2015-219', 'Present')",9
"('28/05/2014-368', 'Present')",9
"('22/05/2015-426', 'Present')",9
"('30/05/2014-826', 'Present')",9
"('21/05/2015-166', 'Present')",9
"('22/05/2015-439', 'Present')",9
"('22/05/2015-445', 'Present')",9
"('21/05/2015-272', 'Present')",9
"('28/05/2014-362', 'Present')",9
"('30/05/2014-837', 'Present')",9
"('30/05/2014-927', 'Present')",9
"('30/05/2014-831', 'Present')",9
"('30/05/2014-825', 'Present')",9
"('22/05/2015-418', 'Present')",9
"('21/05/2015-202', 'Present')",9
"('29/05/2014-685', 'Present')",9
"('30/05/2014-931', 'Present')",9
"('21/05/2015-165', 'Present')",9
"('30/05/2014-745', 'Present')",9
"('04/06/2014-949', 'Present')",9
"('21/05/2015-161', 'Present')",9
"('12/05/2016-274', 'Present')",9
"('30/05/2014-890', 'Present')",9
"('21/05/2015-156', 'Present')",9
"('29/05/2014-640', 'Present')",9
"('22/05/2015-444', 'Present')",9
"('30/05/2014-905', 'Present')",9
"('21/05/2015-270', 'Present')",9
"('30/05/2014-797', 'Present')",9
"('22/05/2015-433', 'Present')",9
"('30/05/2014-731', 'Present')",9
"('21/05/2015-230', 'Present')",9
"('21/05/2015-167', 'Present')",9
"('21/05/2015-211', 'Present')",9
"('30/05/2014-860', 'Present')",9
"('28/05/2014-353', 'Present')",9
"('30/05/2014-925', 'Present')",9
"('30/05/2014-928', 'Present')",9
"('28/05/2014-370', 'Present')",9
"('21/05/2015-169', 'Present')",9
"('11/05/2016-35', 'Present')",9
"('30/05/2014-732', 'Present')",9
"('28/05/2014-371', 'Present')",9
"('30/05/2014-816', 'Present')",9
"('30/05/2014-941', 'Present')",9
"('30/05/2014-802', 'Present')",9
"('29/05/2014-667', 'Present')",9
"('30/05/2014-818', 'Present')",9
"('16/05/2013-500', 'Present')",8
"('30/05/2014-932', 'Present')",8
"('28/05/2014-91', 'Present')",8
"('20/05/2015-64', 'Present')",8
"('29/05/2014-633', 'Present')",8
"('21/05/2015-281', 'Present')",8
"('30/05/2014-813', 'Present')",8
"('21/05/2015-154', 'Present')",8
"('30/05/2014-794', 'Present')",8
"('30/05/2014-896', 'Present')",8
"('11/05/2016-30', 'Present')",8
"('22/05/2015-429', 'Present')",8
"('30/05/2014-865', 'Present')",8
"('22/05/2015-365', 'Present')",8
"('18/12/2014-5', 'Present')",8
"('29/05/2014-645', 'Present')",8
"('21/05/2015-227', 'Present')",8
"('22/05/2015-345', 'Present')",8
"('21/05/2015-180', 'Present')",8
"('21/05/2015-319', 'Present')",8
"('29/05/2014-658', 'Present')",8
"('30/05/2014-885', 'Present')",8
"('22/05/2015-401', 'Present')",8
"('30/05/2014-781', 'Present')",8
"('20/05/2015-60', 'Present')",8
"('21/05/2015-261', 'Present')",8
"('22/05/2015-346', 'Present')",8
"('16/05/2013-523', 'Present')",8
"('21/05/2015-181', 'Present')",8
"('30/05/2014-886', 'Present')",8
"('11/05/2016-25', 'Present')",8
"('11/05/2016-19', 'Present')",8
"('29/05/2014-673', 'Present')",8
"('28/05/2014-351', 'Present')",8
"('21/05/2015-157', 'Present')",8
"('16/05/2013-497', 'Present')",8
"('30/05/2014-800', 'Present')",8
"('29/05/2014-619', 'Present')",8
"('21/05/2015-282', 'Present')",8
"('11/05/2016-16', 'Present')",8
"('11/05/2016-28', 'Present')",8
