,Unnamed: 0,topic_id,member_id,vote,name-en,name-ch,vote-date,vote-time,motion-en,motion-ch,mover-en,mover-ch,mover-type,vote-separate-mechanism
10534,10534,14/05/2013-5,WONG Yuk-man,Absent,WONG Yuk-man,黃毓民,14/05/2013,14:55:52,APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 4),《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號4）,WONG Yuk-man,黃毓民,Member,Yes
13262,13262,14/05/2013-44,LEUNG Kwok-hung,Absent,LEUNG Kwok-hung,梁國雄,14/05/2013,16:10:41,APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 44),《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號44）,LEUNG Kwok-hung,梁國雄,Member,Yes
14172,14172,14/05/2013-57,LEUNG Kwok-hung,Absent,LEUNG Kwok-hung,梁國雄,14/05/2013,16:57:48,APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 58),《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號58）,LEUNG Kwok-hung,梁國雄,Member,Yes
19423,19423,14/05/2013-132,Albert CHAN,Absent,Albert CHAN,陳偉業,14/05/2013,20:22:07,APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 24 (VOTE NO. 150),《2013年撥款條例草案》－ 全體委員會審議階段 － 總目24的修正案 （表決編號150）,Albert CHAN,陳偉業,Member,Yes
19506,19506,14/05/2013-133,CHAN Chi-chuen,Abstain,CHAN Chi-chuen,陳志全,14/05/2013,20:23:53,APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 30 (VOTE NO. 151),《2013年撥款條例草案》－ 全體委員會審議階段 － 總目30的修正案 （表決編號151）,CHAN Chi-chuen,陳志全,Member,Yes
19576,19576,14/05/2013-134,CHAN Chi-chuen,Abstain,CHAN Chi-chuen,陳志全,14/05/2013,20:25:37,APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 30 (VOTE NO. 152),《2013年撥款條例草案》－ 全體委員會審議階段 － 總目30的修正案 （表決編號152）,CHAN Chi-chuen,陳志全,Member,Yes
19646,19646,14/05/2013-135,CHAN Chi-chuen,Abstain,CHAN Chi-chuen,陳志全,14/05/2013,20:27:22,APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 30 (VOTE NO. 153),《2013年撥款條例草案》－ 全體委員會審議階段 － 總目30的修正案 （表決編號153）,CHAN Chi-chuen,陳志全,Member,Yes
19856,19856,14/05/2013-138,CHAN Chi-chuen,Abstain,CHAN Chi-chuen,陳志全,14/05/2013,20:32:39,APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 30 (VOTE NO. 156),《2013年撥款條例草案》－ 全體委員會審議階段 － 總目30的修正案 （表決編號156）,CHAN Chi-chuen,陳志全,Member,Yes
33632,33632,15/05/2013-335,LEUNG Kwok-hung,Absent,LEUNG Kwok-hung,梁國雄,15/05/2013,17:34:39,APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 95 (VOTE NO. 357),《2013年撥款條例草案》－ 全體委員會審議階段 － 總目95的修正案 （表決編號357）,LEUNG Kwok-hung,梁國雄,Member,Yes
37843,37843,15/05/2013-395,Gary FAN,Abstain,Gary FAN,范國威,15/05/2013,20:37:50,APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 138 (VOTE NO. 417),《2013年撥款條例草案》－ 全體委員會審議階段 － 總目138的修正案 （表決編號417）,Gary FAN,范國威,Member,Yes
39862,39862,15/05/2013-424,LEUNG Kwok-hung,Absent,LEUNG Kwok-hung,梁國雄,15/05/2013,21:34:45,APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 141 (VOTE NO. 446),《2013年撥款條例草案》－ 全體委員會審議階段 － 總目141的修正案 （表決編號446）,LEUNG Kwok-hung,梁國雄,Member,Yes
57093,57093,16/05/2013-670,Gary FAN,Abstain,Gary FAN,范國威,16/05/2013,20:27:51,APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 186 (VOTE NO. 692),《2013年撥款條例草案》－ 全體委員會審議階段 － 總目186的修正案 （表決編號692）,Gary FAN,范國威,Member,Yes
62468,62468,04/07/2013-11,IP Kwok-him,Abstain,IP Kwok-him,葉國謙,04/07/2013,00:00:26,"MOTION MOVED BY HON IP KWOK-HIM ON ""FORMULATING A POPULATION POLICY"" AS AMENDED BY DR HON KENNETH CHAN / HON IP KIN-YUEN / HON KENNETH LEUNG",葉國謙議員動議，經陳家洛議員／葉建源議員／梁繼昌議員修正的「制訂人口政策」議案,IP Kwok-him,葉國謙,Member,Yes
67020,67020,20/11/2013-5,Paul TSE,Abstain,Paul TSE,謝偉俊,20/11/2013,20:15:59,"MOTION MOVED BY HON PAUL TSE ON ""REDUCING TAXES ACROSS THE BOARD"" AS AMENDED BY HON KENNETH LEUNG / HON JEFFREY LAM / HON YIU SI-WING",謝偉俊議員動議，經梁繼昌議員／林健鋒議員／姚思榮議員修正的「全面減稅」議案,Paul TSE,謝偉俊,Member,Yes
70860,70860,20/02/2014-3,Starry LEE,No,Starry LEE,李慧琼,20/02/2014,14:58:54,STAMP DUTY (AMENDMENT) BILL 2012 - COMMITTEE STAGE - HON STARRY LEE'S 1ST AMENDMENT TO CLAUSE 5,《2012年印花稅（修訂）條例草案》－ 全體委員會審議階段 － 李慧琼議員的第一項就第5條的修正案,Starry LEE,李慧琼,Member,Yes
70930,70930,20/02/2014-4,Starry LEE,No,Starry LEE,李慧琼,20/02/2014,15:06:20,"STAMP DUTY (AMENDMENT) BILL 2012 - COMMITTEE STAGE - HON STARRY LEE'S 2ND AMENDMENT TO CLAUSES 5, 9 AND 12",《2012年印花稅（修訂）條例草案》－ 全體委員會審議階段 － 李慧琼議員的第二項就第5、9及12條的修正案,Starry LEE,李慧琼,Member,Yes
71000,71000,20/02/2014-5,Starry LEE,No,Starry LEE,李慧琼,20/02/2014,15:12:41,STAMP DUTY (AMENDMENT) BILL 2012 - COMMITTEE STAGE - HON STARRY LEE'S 3RD AMENDMENT TO CLAUSES 5 AND 12,《2012年印花稅（修訂）條例草案》－ 全體委員會審議階段 － 李慧琼議員的第三項就第5及12條的修正案,Starry LEE,李慧琼,Member,Yes
71630,71630,21/02/2014-14,Starry LEE,No,Starry LEE,李慧琼,21/02/2014,20:20:11,STAMP DUTY (AMENDMENT) BILL 2012 - COMMITTEE STAGE - HON STARRY LEE'S 4TH  AMENDMENT TO CLAUSE 17,《2012年印花稅（修訂）條例草案》－ 全體委員會審議階段 － 李慧琼議員的第四項就第17條的修正案,Starry LEE,李慧琼,Member,Yes
71700,71700,21/02/2014-15,Starry LEE,No,Starry LEE,李慧琼,21/02/2014,20:26:36,STAMP DUTY (AMENDMENT) BILL 2012 - COMMITTEE STAGE - HON STARRY LEE'S 5TH  AMENDMENT TO CLAUSE 17,《2012年印花稅（修訂）條例草案》－ 全體委員會審議階段 － 李慧琼議員的第五項就第17條的修正案,Starry LEE,李慧琼,Member,Yes
71770,71770,21/02/2014-16,Starry LEE,No,Starry LEE,李慧琼,21/02/2014,20:33:07,STAMP DUTY (AMENDMENT) BILL 2012 - COMMITTEE STAGE - HON STARRY LEE'S 6TH  AMENDMENT TO CLAUSE 17,《2012年印花稅（修訂）條例草案》－ 全體委員會審議階段 － 李慧琼議員的第六項就第17條的修正案,Starry LEE,李慧琼,Member,Yes
71840,71840,21/02/2014-17,Starry LEE,No,Starry LEE,李慧琼,21/02/2014,20:39:34,STAMP DUTY (AMENDMENT) BILL 2012 - COMMITTEE STAGE - HON STARRY LEE'S 7TH  AMENDMENT TO CLAUSE 17,《2012年印花稅（修訂）條例草案》－ 全體委員會審議階段 － 李慧琼議員的第七項就第17條的修正案,Starry LEE,李慧琼,Member,Yes
