,PC1,PC2,PC3
TSANG Yok-sing,-18.453899270813878,8.046547904903248,-0.37634934671117865
Albert HO,-24.284245584574606,-5.915672901167552,2.579110019023129
LEE Cheuk-yan,-26.280632008789198,-6.780202637319808,2.823977767156137
James TO,-24.525794911648315,-4.748195015104968,3.5365018337735443
CHAN Kam-lam,30.96981487541442,-1.9795614991338801,-4.638370530076153
LEUNG Yiu-chung,-27.087963142929965,-3.966301505089586,0.46399157298224586
Dr LAU Wong-fat,7.063645510566071,3.774412672716229,11.379092238348848
Emily LAU,-26.18199893192503,-6.694308972564077,2.854491474500947
TAM Yiu-chung,34.71813268591538,-3.746738489557546,-2.311503074724719
Abraham SHEK,9.142163548045207,12.141890181370961,4.318180891993351
Tommy CHEUNG,14.136325783263217,5.518872593505932,13.595121521150721
Frederick FUNG,-24.919041250797854,-5.889032642398704,1.2540811653941317
Vincent FANG,-1.8725792267656223,11.799602877890573,4.377753777812875
WONG Kwok-hing,28.11206750701187,-11.37006003586859,-5.308795291731507
Prof Joseph LEE,-22.526303643640023,-1.218504028790841,1.9572530170339257
Jeffrey LAM,19.817022077685543,8.441579034826542,5.339678773820405
Andrew LEUNG,29.71127424220694,4.170517743131844,6.87687555514372
WONG Ting-kwong,33.79127841060676,-4.138987504542348,-2.4818253175197413
Ronny TONG,-22.92894844701799,-3.290848262620353,1.0244852936244506
Cyd HO,-26.922018111692783,-8.878788882081915,2.460231986771368
Starry LEE,19.4949809260227,3.5794889746819827,-7.5178273053821485
Dr LAM Tai-fai,-3.266851281578471,12.756809269618579,4.274366500049109
CHAN Hak-kan,15.83432553333586,3.8611306565693058,-10.47601875097751
CHAN Kin-por,20.023408218196835,5.013358605156306,-7.626193574915996
Dr Priscilla LEUNG,15.142848564071691,7.97063215802604,-3.6461452527303195
Dr LEUNG Ka-lau,-16.930946271649816,5.240094664261523,-1.2778577543459615
CHEUNG Kwok-che,-25.967205970531126,-7.424998484224933,1.150107837577183
WONG Kwok-kin,17.916027294348417,-4.587266258326372,-10.458174205390314
IP Kwok-him,28.663595558871357,-0.6778791836273798,-3.1444621287990993
Mrs Regina IP,12.553909874309468,5.025304965898766,-1.2462092210503086
Paul TSE,20.565974526836982,-0.6575709326550413,5.447317915710965
Alan LEONG,-26.085674033461675,-6.97523079294056,1.8868127225803488
LEUNG Kwok-hung,-56.21675481932273,15.564561531010222,-15.543896756634297
Albert CHAN,-55.68640347111926,15.7185618527997,-10.3604699913902
WONG Yuk-man,-30.193192249629554,6.343968663727275,-5.430092460258645
Claudia MO,-29.080583637137266,-6.3247190104093844,2.943837983363929
Michael TIEN,1.2810480900991599,11.305405915069592,2.1177731303318565
James TIEN,-1.8184379726262003,12.33465613718186,10.061698924045698
NG Leung-sing,21.586437346089305,4.079733527226927,-1.7039058368876692
Steven HO,32.27056157725921,-3.2012283858272017,-0.8630163845078257
Frankie YICK,19.59261692524172,5.5248581478951815,9.113258208789594
WU Chi-wai,-24.982503184225916,-7.259824529153613,2.6980478584571483
YIU Si-wing,26.926199865277415,4.693264146824094,-1.4069426367081985
Gary FAN,-30.362938018332105,-5.976336431376861,1.334362166868108
MA Fung-kwok,24.814838336784113,0.002609057465435133,-2.9561723964788786
Charles Peter MOK,-22.270909119071817,-5.921547775696977,3.4126470103945747
CHAN Chi-chuen,-53.838486502743315,10.814938018875457,-10.132019397248573
CHAN Han-pan,19.967322974845604,0.7341337075732794,-3.240558201758542
Dr Kenneth CHAN,-25.996917713480272,-6.593392500668769,1.1246198154215554
CHAN Yuen-han,9.699374170895863,-3.1400097773322933,-8.588151398747506
LEUNG Che-cheung,28.251202313337448,-4.114484596540209,-3.4186238135996194
Kenneth LEUNG,-22.122649836140564,-2.4893865732886002,2.811801213425982
Alice MAK,29.154193084921122,-11.600190344193429,-3.6805485773331035
Dr KWOK Ka-ki,-26.5947638283572,-5.352109898496248,2.068679726235754
KWOK Wai-keung,26.168148612947963,-9.028997791880705,-5.361337783800853
Dennis KWOK,-24.34869024517375,-4.988298674321239,0.19796228585403547
Christopher CHEUNG,33.120383951813025,1.8336719751651085,5.93162224431378
Dr Fernando CHEUNG,-26.43443940532718,-6.738118096111204,2.5666522465804573
SIN Chung-kai,-25.53249449202204,-7.5737956263293125,2.8405740146554876
Dr Helena WONG,-25.319745905190768,-6.692842257839515,3.5891518875001194
IP Kin-yuen,-24.758548611655517,-6.761250719500097,3.7744603958491094
Dr Elizabeth QUAT,26.504363600776212,-0.9987347802569351,-1.6204203172980938
Martin LIAO,20.008668922375197,3.15747281790675,-0.05198618987941618
POON Siu-ping,30.919096071178764,-12.86583982493357,-1.4282503703324367
TANG Ka-piu,24.970542540732662,-10.081462388465546,-6.198791306341406
Dr CHIANG Lai-wan,15.990880518472585,4.677049714695351,-5.05679737007769
Ir Dr LO Wai-kwok,34.20527049699559,2.5024940239545246,7.652753685727331
CHUNG Kwok-pan,12.863751621818226,8.97865758189189,12.08315712900297
Christopher CHUNG,19.577069892086605,1.2611221364223086,-3.4707159459282013
Tony TSE,23.15308799358488,1.951890444349719,1.2059354775032407
Alvin YEUNG,-18.57349296640221,7.527328171500474,-0.37318962669827377
