age_group,category,a,b,c,d,hki_total,e,f,g,kle_total,h,j,klw_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
18-20,F,"1,444",657,"4,777","2,183","9,061","1,792","2,949","2,561",,"4,757","6,246","11,003","2,785","5,208","7,222","5,265","1,365","21,845","4,286","3,773","4,809","7,321","20,189","69,400"
18-20,M,"1,552",737,"5,087","2,267","9,643","1,996","3,132","2,825","7,953","4,954","6,773","11,727","2,881","5,856","7,703","5,626","1,470","23,536","4,518","4,146","5,129","7,696","21,489","74,348"
18-20,Sub-total,"2,996","1,394","9,864","4,450","18,704","3,788","6,081","5,386","15,255","9,711","13,019","22,730","5,666","11,064","14,925","10,891","2,835","45,381","8,804","7,919","9,938","15,017","41,678","143,748"
21-25,F,"2,496","1,151","8,061","3,667","15,375","2,775","4,731","4,047","11,553","7,107","9,680","16,787","3,680","9,124","11,185","8,438","1,901","34,328","6,671","6,708","7,373","10,963","31,715","109,758"
21-25,M,"2,552","1,108","8,096","3,671","15,427","2,816","4,739","4,135","11,690","7,453","10,124","17,577","4,044","9,857","11,857","8,628","2,115","36,501","7,101","7,001","7,748","11,568","33,418","114,613"
21-25,Sub-total,"5,048","2,259","16,157","7,338","30,802","5,591","9,470","8,182","23,243","14,560","19,804","34,364","7,724","18,981","23,042","17,066","4,016","70,829","13,772","13,709","15,121","22,531","65,133","224,371"
26-30,F,"3,026","1,405","9,012","4,448","17,891","3,229","4,973","4,486","12,688","6,743","9,404","16,147","4,097","9,406","9,525","8,723","1,792","33,543","6,348","6,758","7,341","12,472","32,919","113,188"
26-30,M,"2,926","1,321","9,000","4,466","17,713","3,371","5,109","4,516","12,996","7,042","10,341","17,383","3,997","9,676","10,242","8,804","1,733","34,452","6,518","6,886","7,218","12,469","33,091","115,635"
26-30,Sub-total,"5,952","2,726","18,012","8,914","35,604","6,600","10,082","9,002","25,684","13,785","19,745","33,530","8,094","19,082","19,767","17,527","3,525","67,995","12,866","13,644","14,559","24,941","66,010","228,823"
31-35,F,"3,615","1,868","10,368","4,432","20,283","4,344","5,239","5,438","15,021","6,630","9,999","16,629","5,491","10,289","9,624","8,609","1,943","35,956","5,186","5,587","7,631","13,357","31,761","119,650"
31-35,M,"3,466","1,769","10,425","4,481","20,141","4,547","5,423","5,287","15,257","7,131","10,665","17,796","5,359","11,480","10,320","9,363","2,022","38,544","5,775","6,057","7,685","14,173","33,690","125,428"
31-35,Sub-total,"7,081","3,637","20,793","8,913","40,424","8,891","10,662","10,725","30,278","13,761","20,664","34,425","10,850","21,769","19,944","17,972","3,965","74,500","10,961","11,644","15,316","27,530","65,451","245,078"
36-40,F,"4,624","2,414","12,309","5,183","24,530","5,499","6,135","6,905","18,539","7,988","11,718","19,706","6,681","8,953","11,368","10,273","2,877","40,152","5,128","4,868","10,786","13,024","33,806","136,733"
36-40,M,"4,111","2,225","11,800","5,043","23,179","5,698","5,923","6,915","18,536","7,967","12,045","20,012","6,452","9,372","11,079","11,122","2,413","40,438","4,798","4,922","9,714","13,210","32,644","134,809"
36-40,Sub-total,"8,735","4,639","24,109","10,226","47,709","11,197","12,058","13,820","37,075","15,955","23,763","39,718","13,133","18,325","22,447","21,395","5,290","80,590","9,926","9,790","20,500","26,234","66,450","271,542"
41-45,F,"4,900","2,620","13,731","6,173","27,424","5,285","6,547","7,287","19,119","9,557","13,305","22,862","6,940","9,951","13,562","10,739","3,547","44,739","7,098","5,855","11,631","13,815","38,399","152,543"
41-45,M,"4,283","2,402","11,958","5,501","24,144","5,391","6,093","6,984","18,468","8,665","12,480","21,145","6,277","8,247","11,325","10,740","2,790","39,379","5,714","4,776","10,377","11,489","32,356","135,492"
41-45,Sub-total,"9,183","5,022","25,689","11,674","51,568","10,676","12,640","14,271","37,587","18,222","25,785","44,007","13,217","18,198","24,887","21,479","6,337","84,118","12,812","10,631","22,008","25,304","70,755","288,035"
46-50,F,"6,051","3,181","18,031","8,318","35,581","5,751","8,252","8,839","22,842","13,836","17,041","30,877","8,597","15,601","17,809","13,823","4,086","59,916","10,465","10,391","14,124","19,814","54,794","204,010"
46-50,M,"5,402","2,832","15,734","7,433","31,401","5,572","7,522","7,890","20,984","12,529","15,836","28,365","7,814","12,926","16,104","12,281","3,832","52,957","8,861","7,786","12,885","16,590","46,122","179,829"
46-50,Sub-total,"11,453","6,013","33,765","15,751","66,982","11,323","15,774","16,729","43,826","26,365","32,877","59,242","16,411","28,527","33,913","26,104","7,918","112,873","19,326","18,177","27,009","36,404","100,916","383,839"
