age_group,category,a,b,c,d,hki_total,e,f,g,klw_total,h,j,kle_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
18-20,M,"1,262",704,"4,200","1,897","8,063","1,745","2,873","2,783","7,401","4,069","5,954","10,023","2,673","4,359","6,432","4,765","1,408","19,637","3,613","3,059","4,722","6,700","18,094","63,218"
18-20,F,"1,238",662,"3,927","1,876","7,703","1,632","2,764","2,552","6,948","3,914","5,902","9,816","2,440","4,023","6,124","4,537","1,380","18,504","3,414","2,871","4,654","6,439","17,378","60,349"
18-20,Sub-total,"2,500","1,366","8,127","3,773","15,766","3,377","5,637","5,335","14,349","7,983","11,856","19,839","5,113","8,382","12,556","9,302","2,788","38,141","7,027","5,930","9,376","13,139","35,472","123,567"
21-25,M,"2,818","1,557","8,926","4,047","17,348","3,474","5,888","5,537","14,899","9,127","12,779","21,906","5,267","10,811","14,845","10,367","2,747","44,037","7,942","7,451","9,798","14,318","39,509","137,699"
21-25,F,"2,619","1,468","8,449","4,047","16,583","3,285","5,639","5,310","14,234","8,725","11,843","20,568","5,013","9,712","13,918","9,854","2,525","41,022","7,602","6,908","9,318","13,365","37,193","129,600"
21-25,Sub-total,"5,437","3,025","17,375","8,094","33,931","6,759","11,527","10,847","29,133","17,852","24,622","42,474","10,280","20,523","28,763","20,221","5,272","85,059","15,544","14,359","19,116","27,683","76,702","267,299"
26-30,M,"2,908","1,616","8,847","4,090","17,461","3,463","5,805","5,294","14,562","8,038","11,184","19,222","4,793","10,489","12,683","10,025","2,263","40,253","7,819","7,756","9,036","13,347","37,958","129,456"
26-30,F,"2,956","1,692","8,788","4,137","17,573","3,452","5,648","5,171","14,271","7,486","10,374","17,860","4,503","9,803","11,678","9,465","2,059","37,508","7,248","7,478","8,654","12,952","36,332","123,544"
26-30,Sub-total,"5,864","3,308","17,635","8,227","35,034","6,915","11,453","10,465","28,833","15,524","21,558","37,082","9,296","20,292","24,361","19,490","4,322","77,761","15,067","15,234","17,690","26,299","74,290","253,000"
31-35,M,"3,327","1,987","9,482","4,803","19,599","4,128","6,018","5,492","15,638","7,463","11,185","18,648","5,248","11,219","12,009","9,698","2,035","40,209","7,110","7,654","8,819","15,081","38,664","132,758"
31-35,F,"3,554","2,130","9,414","4,677","19,775","3,892","5,692","5,653","15,237","7,074","10,169","17,243","5,477","10,429","11,194","9,258","1,991","38,349","6,685","7,315","8,774","15,047","37,821","128,425"
31-35,Sub-total,"6,881","4,117","18,896","9,480","39,374","8,020","11,710","11,145","30,875","14,537","21,354","35,891","10,725","21,648","23,203","18,956","4,026","78,558","13,795","14,969","17,593","30,128","76,485","261,183"
36-40,M,"3,810","2,464","10,564","4,739","21,577","5,005","6,018","6,610","17,633","7,298","11,736","19,034","6,449","11,544","11,335","10,016","2,216","41,560","5,451","6,014","9,023","15,408","35,896","135,700"
36-40,F,"4,146","2,723","10,892","4,849","22,610","5,153","6,238","7,243","18,634","7,357","11,670","19,027","6,755","10,646","10,971","9,682","2,339","40,393","5,419","5,682","9,633","15,223","35,957","136,621"
36-40,Sub-total,"7,956","5,187","21,456","9,588","44,187","10,158","12,256","13,853","36,267","14,655","23,406","38,061","13,204","22,190","22,306","19,698","4,555","81,953","10,870","11,696","18,656","30,631","71,853","272,321"
41-45,M,"4,410","3,019","11,862","5,382","24,673","5,904","6,655","8,252","20,811","8,406","13,207","21,613","7,287","9,079","11,838","11,764","2,679","42,647","5,096","5,205","11,062","14,086","35,449","145,193"
41-45,F,"5,072","3,397","13,208","6,063","27,740","6,238","7,609","8,879","22,726","9,482","14,573","24,055","7,751","9,600","13,642","11,865","3,445","46,303","6,255","5,792","12,851","15,232","40,130","160,954"
41-45,Sub-total,"9,482","6,416","25,070","11,445","52,413","12,142","14,264","17,131","43,537","17,888","27,780","45,668","15,038","18,679","25,480","23,629","6,124","88,950","11,351","10,997","23,913","29,318","75,579","306,147"
46-50,M,"4,432","3,046","12,264","6,114","25,856","5,531","7,018","8,045","20,594","9,784","14,225","24,009","6,825","9,217","12,861","11,381","3,148","43,432","6,446","5,493","11,509","13,167","36,615","150,506"
46-50,F,"5,107","3,351","14,454","6,950","29,862","5,738","8,051","8,906","22,695","11,320","16,028","27,348","7,747","11,452","16,102","12,425","3,940","51,666","8,387","7,107","13,415","16,301","45,210","176,781"
46-50,Sub-total,"9,539","6,397","26,718","13,064","55,718","11,269","15,069","16,951","43,289","21,104","30,253","51,357","14,572","20,669","28,963","23,806","7,088","95,098","14,833","12,600","24,924","29,468","81,825","327,287"
51-55,M,"5,625","3,522","16,296","8,007","33,450","5,959","8,683","9,344","23,986","14,016","17,758","31,774","8,600","14,367","18,617","13,632","4,188","59,404","10,115","9,187","14,407","18,904","52,613","201,227"
51-55,F,"6,291","3,839","18,672","8,959","37,761","6,203","9,704","10,199","26,106","15,370","19,215","34,585","9,318","17,102","20,173","15,538","4,424","66,555","11,523","11,851","16,036","22,470","61,880","226,887"
51-55,Sub-total,"11,916","7,361","34,968","16,966","71,211","12,162","18,387","19,543","50,092","29,386","36,973","66,359","17,918","31,469","38,790","29,170","8,612","125,959","21,638","21,038","30,443","41,374","114,493","428,114"
56-60,M,"5,964","3,594","16,974","8,066","34,598","5,682","9,842","9,298","24,822","14,104","17,633","31,737","8,124","16,536","19,571","14,861","4,275","63,367","11,397","11,900","14,569","21,653","59,519","214,043"
56-60,F,"6,085","3,965","18,306","8,769","37,125","5,798","10,263","9,607","25,668","14,439","18,729","33,168","8,165","18,048","17,242","15,885","3,914","63,254","11,213","12,669","14,065","23,451","61,398","220,613"
56-60,Sub-total,"12,049","7,559","35,280","16,835","71,723","11,480","20,105","18,905","50,490","28,543","36,362","64,905","16,289","34,584","36,813","30,746","8,189","126,621","22,610","24,569","28,634","45,104","120,917","434,656"
61-65,M,"5,034","3,483","14,440","6,912","29,869","5,113","8,447","7,762","21,322","10,409","14,563","24,972","6,237","14,319","13,757","12,337","3,378","50,028","8,727","9,148","10,257","17,995","46,127","172,318"
61-65,F,"5,262","3,767","15,532","7,194","31,755","5,264","8,666","8,881","22,811","11,046","16,353","27,399","6,409","14,966","11,928","13,388","2,921","49,612","7,405","8,633","9,659","19,518","45,215","176,792"
61-65,Sub-total,"10,296","7,250","29,972","14,106","61,624","10,377","17,113","16,643","44,133","21,455","30,916","52,371","12,646","29,285","25,685","25,725","6,299","99,640","16,132","17,781","19,916","37,513","91,342","349,110"
66-70,M,"4,326","3,173","12,374","5,383","25,256","4,429","6,601","7,231","18,261","7,989","12,539","20,528","4,968","10,459","8,965","10,180","2,464","37,036","5,407","5,847","7,271","13,907","32,432","133,513"
66-70,F,"4,151","3,399","12,977","5,634","26,161","4,637","6,663","7,820","19,120","8,754","13,978","22,732","5,105","8,730","7,179","11,696","1,926","34,636","4,195","4,804","6,789","13,543","29,331","131,980"
66-70,Sub-total,"8,477","6,572","25,351","11,017","51,417","9,066","13,264","15,051","37,381","16,743","26,517","43,260","10,073","19,189","16,144","21,876","4,390","71,672","9,602","10,651","14,060","27,450","61,763","265,493"
71 or above,M,"7,136","6,281","21,683","9,867","44,967","9,131","14,545","14,710","38,386","18,924","29,459","48,383","8,876","13,121","13,347","21,032","3,519","59,895","8,146","7,814","10,466","20,289","46,715","238,346"
71 or above,F,"7,471","6,807","24,850","11,314","50,442","9,179","15,749","16,436","41,364","24,430","31,487","55,917","8,935","11,259","12,454","21,101","3,455","57,204","8,457","8,082","11,021","20,075","47,635","252,562"
71 or above,Sub-total,"14,607","13,088","46,533","21,181","95,409","18,310","30,294","31,146","79,750","43,354","60,946","104,300","17,811","24,380","25,801","42,133","6,974","117,099","16,603","15,896","21,487","40,364","94,350","490,908"
Total,M,"51,052","34,446","147,912","69,307","302,717","59,564","88,393","90,358","238,315","119,627","172,222","291,849","75,347","135,520","156,260","140,058","34,320","541,505","87,269","86,528","120,939","184,855","479,591","1,853,977"
Total,F,"53,952","37,200","159,469","74,469","325,090","60,471","92,686","96,657","249,814","129,397","180,321","309,718","77,618","135,770","152,605","144,694","34,319","545,006","87,803","89,192","124,869","193,616","495,480","1,925,108"
Grand Total,,"105,004","71,646","307,381","143,776","627,807","120,035","181,079","187,015","488,129","249,024","352,543","601,567","152,965","271,290","308,865","284,752","68,639","1,086,511","175,072","175,720","245,808","378,471","975,071","3,779,085"
