,,,候選人名單編號 Candidiates List Number,,,,,,,,,,,,,,
Counting Station 點票站,,,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,Total 總數
LC003,國際展貿中心,Hongkong International Trade & Exhibition Centre,0 ,0 ,0 ,0 ,1 ,1 ,,,,,,,,,2 
H 黃大仙區 WONG TAI SIN DISTRICT,,,,,,,,,,,,,,,,,
H0101,黃大仙社區中心,Wong Tai Sin Community Centre,352 ,539 ,773 ,767 ,735 ,"1,486 ",,,,,,,,,"4,652 "
H0201,孔教學院大成小學,Confucian Tai Shing Primary School,397 ,541 ,649 ,819 ,768 ,"1,157 ",,,,,,,,,"4,331 "
H0301,龍翔官立中學,Lung Cheung Government Secondary School,282 ,255 ,325 ,356 ,435 ,763 ,,,,,,,,,"2,416 "
H0401,聖文德書院,St. Bonaventure College & High School,369 ,343 ,404 ,546 ,306 ,491 ,,,,,,,,,"2,459 "
H0501,鳳德社區中心,Fung Tak Estate Community Centre,654 ,670 ,"1,344 ","1,046 ",768 ,"1,330 ",,,,,,,,,"5,812 "
H0601,鳳德社區中心1樓會議室,"Conference Room, 1/F, Fung Tak Estate Community Centre",431 ,510 ,410 ,963 ,503 ,941 ,,,,,,,,,"3,758 "
H0701,保良局何壽南小學,PLK Stanley Ho Sau Nan Primary School,118 ,240 ,557 ,450 ,304 ,403 ,,,,,,,,,"2,072 "
H0702,嘉諾撒小學 (新蒲崗),Canossa Primary School (San Po Kong),190 ,261 ,442 ,511 ,363 ,509 ,,,,,,,,,"2,276 "
H0801,天主教伍華中學,Ng Wah Catholic Secondary School,239 ,375 ,804 ,509 ,453 ,"1,051 ",,,,,,,,,"3,431 "
H0901,天主教溥仁學校,Po Yan Catholic Primary School,107 ,207 ,510 ,253 ,261 ,470 ,,,,,,,,,"1,808 "
H1001,摩士公園體育館,Morse Park Sports Centre,263 ,689 ,"1,791 ",897 ,667 ,792 ,,,,,,,,,"5,099 "
H1201,天主教博智小學,Price Memorial Catholic Primary School,143 ,406 ,404 ,780 ,359 ,653 ,,,,,,,,,"2,745 "
H1202,潔心林炳炎中學,Kit Sam Lam Bing Yim Secondary School,243 ,796 ,"1,983 ","1,088 ",665 ,827 ,,,,,,,,,"5,602 "
H1301,嗇色園主辦可德幼稚園幼兒中心,Ho Tak Kindergarten and Child Care Centre (Sponsored by Sik Sik Yuen),99 ,598 ,272 ,319 ,245 ,602 ,,,,,,,,,"2,135 "
H1302,嘉寶中英文幼稚園 (舊址),Carbo Anglo-Chinese Kindergarten (Former Site),174 ,420 ,589 ,603 ,357 ,726 ,,,,,,,,,"2,869 "
H1401,竹園社區中心,Chuk Yuen Estate Community Centre,112 ,343 ,263 ,285 ,296 ,751 ,,,,,,,,,"2,050 "
H1402,浸信會天虹小學,Baptist Rainbow Primary School,77 ,280 ,189 ,244 ,267 ,666 ,,,,,,,,,"1,723 "
H1501,竹園體育館,Chuk Yuen Sports Centre,203 ,"1,997 ",434 ,631 ,346 ,"1,286 ",,,,,,,,,"4,897 "
H1601,嗇色園主辦可立小學,Ho Lap Primary School (Sponsored by Sik Sik Yuen),610 ,457 ,"1,125 ",530 ,779 ,886 ,,,,,,,,,"4,387 "
H1701,肖霞幼稚園,Chiu Ha Kindergarten,343 ,558 ,"1,656 ",766 ,614 ,670 ,,,,,,,,,"4,607 "
