,,,候選人名單編號 Candidiates List Number,,,,,,,,,,,,,,,,,,,
Counting Station 點票站,,,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,Total 總數
LC004,亞洲國際博覽館,AsiaWorld-Expo,2,2,3,4,0,0,3,4,0,1,8,6,0,2,4,2,,,,41
,,,,,,,,,,,,,,,,,,,,,,
K,荃灣區,TSUEN WAN DISTRICT,,,,,,,,,,,,,,,,,,,,
K0101,雅麗珊社區中心,Princess Alexandra Community Centre,46,113,55,252,10,50,456,287,26,81,212,746,35,254,169,182,,,,2974
K0201,荃灣天主教小學,Tsuen Wan Catholic Primary School,38,120,95,400,6,79,957,363,50,115,431,1688,32,361,324,94,,,,5153
K0301,天主教石鐘山紀念小學,Shak Chung Shan Memorial Catholic Primary School,63,217,144,483,15,94,1316,657,90,156,574,774,123,532,374,322,,,,5934
K0401,寶安商會王少清中學,POCA Wong Siu Ching Secondary School,50,143,56,312,5,58,458,250,40,56,252,687,18,282,190,153,,,,3010
K0501,荃灣官立中學,Tsuen Wan Government Secondary School,39,1195,38,542,5,67,529,266,19,53,289,577,17,421,270,193,,,,4520
K0601,荃景圍體育館,Tsuen King Circuit Sports Centre,48,142,200,379,6,75,1295,1667,53,159,478,363,9,369,308,223,,,,5774
K0701,柴灣角天主教小學,Chai Wan Kok Catholic Primary School,18,136,316,314,6,62,532,399,31,77,259,856,6,146,188,125,,,,3471
K0801,中華基督教會基慧小學,CCC Kei Wai Primary School,46,127,184,401,3,68,1012,611,29,139,395,791,12,245,274,166,,,,4503
K0802,川龍村公所,Chuen Lung Village Office,19,14,32,58,0,9,181,132,47,18,55,116,5,64,32,71,,,,853
K0901,荃灣官立小學,Tsuen Wan Government Primary School,61,174,229,556,7,88,1527,911,79,207,524,1043,26,458,347,237,,,,6474
K1001,香港浸信會聯會小學,Hong Kong Baptist Convention Primary School,53,110,168,395,10,54,1144,665,67,121,313,672,8,359,212,214,,,,4565
K1101,中華基督教會基慧小學 (馬灣),CCC Kei Wai Primary School (Ma Wan),104,64,69,227,8,50,885,471,39,172,552,169,4,281,179,174,,,,3448
K1102,澳仙納幼稚園舊址,Former Site of Oceanic Kindergarten,35,59,59,204,2,39,538,432,51,82,154,242,11,176,105,128,,,,2317
K1201,深井天主教小學,Sham Tseng Catholic Primary School,83,154,177,525,11,56,1573,858,129,178,443,626,30,424,330,305,,,,5902
K1301,蕙荃體育館,Wai Tsuen Sports Centre,81,188,94,351,5,74,1009,516,50,153,489,696,27,335,247,263,,,,4578
K1401,梨木樹社區會堂,Lei Muk Shue Community Hall,49,264,30,420,4,83,865,176,47,48,345,739,42,251,324,214,,,,3901
K1402,河背村村公所,Ho Pui Tsuen Village Office,15,22,13,70,0,17,168,77,46,27,84,141,7,61,53,48,,,,849
K1501,梨木樹天主教小學,Lei Muk Shue Catholic Primary School,15,327,27,302,6,71,863,128,48,46,434,669,16,221,219,170,,,,3562
K1601,香港道教聯合會圓玄學院石圍角小學,HKTA YYI Shek Wai Kok Primary School,31,201,26,261,6,47,292,161,24,40,236,864,20,204,219,131,,,,2763
K1701,荃灣信義學校,Tsuen Wan Lutheran School,17,88,13,179,2,41,215,106,33,39,175,639,13,178,132,79,,,,1949
K1702,荃灣公立何傳耀紀念中學,Tsuen Wan Public Ho Chuen Yiu Memorial College,14,114,16,236,2,49,276,126,35,33,198,673,15,235,166,91,,,,2279
,,,,,,,,,,,,,,,,,,,,,,
L,屯門區,TUEN MUN DISTRICT,,,,,,,,,,,,,,,,,,,,
L0101,屯門大會堂展覽廳,"Exhibition Gallery, Tuen Mun Town Hall",57,126,322,255,12,55,584,303,62,96,228,49,41,144,305,520,,,,3159
L0102,青山天主教小學,Castle Peak Catholic Primary School,26,43,78,49,2,9,83,41,13,9,58,12,27,14,62,141,,,,667
