,,,候選人名單編號 Candidiates List Number,,,,,,,
Counting Station 點票站,,,1 ,2 ,3 ,4 ,5 ,6 ,7 ,Total 總數
N,北區,NORTH DISTRICT,,,,,,,,
N0101,香海正覺蓮社佛教馬錦燦紀念英文中學,HHCKLA Buddhist Ma Kam Chan Memorial English Secondary School,14,217,1705,16,240,718,1554,4464
N0201,粉嶺公立學校,Fanling Public School,8,59,517,5,65,167,415,1236
N0202,明愛粉嶺陳震夏中學,Caritas Fanling Chan Chun Ha Secondary School,12,112,475,16,110,258,590,1573
N0301,祥華社區會堂,Cheung Wah Community Hall,24,286,1467,19,241,831,1499,4367
N0401,香海正覺蓮社佛教正覺蓮社學校,HHCKLA Buddhist Ching Kok Lin Association School,28,352,1902,21,238,1061,1730,5332
N0501,鳳溪廖潤琛紀念學校,Fung Kai Liu Yun Sum Memorial School,27,236,1450,14,172,1324,1478,4701
N0601,香海正覺蓮社佛教普光學校,HHCKLA Buddhist Po Kwong School,14,133,944,15,124,468,884,2582
N0602,路德會賽馬會雍盛綜合服務中心,Jockey Club Yung Shing Lutheran Integrated Service Centre,10,114,1498,9,124,802,964,3521
N0701,聖公會嘉福榮真小學,SKH Ka Fuk Wing Chun Primary School,30,222,1770,20,261,994,1413,4710
N0801,粉嶺官立中學,Fanling Government Secondary School,18,131,730,12,138,320,905,2254
N0802,聖公會榮真小學,SKH Wing Chun Primary School,9,93,515,2,83,232,582,1516
N0901,香海正覺蓮社佛教正慧小學,HHCKLA Buddhist Wisdom Primary School,17,112,1638,9,139,693,741,3349
N1001,風采中學 (教育評議會主辦),Elegantia College (Sponsored by Education Convergence),13,126,1306,15,106,588,813,2967
N1101,新界喇沙中學,"De La Salle Secondary School, N.T.",6,38,298,3,60,122,284,811
N1102,蕉徑村公所,Tsiu Keng Village Office,7,48,331,1,19,71,148,625
N1103,古洞公立愛華學校,Ku Tung Public Oi Wah School,11,78,393,5,70,138,333,1028
N1104,坑頭村公所,Hang Tau Village Office,4,42,432,8,67,121,293,967
N1201,彩園會堂,Choi Yuen Estate Hall,28,420,1842,19,219,847,1236,4611
N1301,龍琛路體育館,Lung Sum Avenue Sports Centre,5,33,206,3,26,114,161,548
N1302,聖公會陳融中學,SKH Chan Young Secondary School,16,168,852,8,126,477,964,2611
N1303,香海正覺蓮社佛教陳式宏學校,HHCKLA Buddhist Chan Shi Wan Primary School,7,120,365,0,51,230,498,1271
