dc,ps,gc,electors,0830,0930,1030,1130,1230,1330,1430,1530,1630,1730,1830,1930,2030,2130,2230
A,A0101,LC1,"5,246 ",1.58%,4.17%,8.56%,12.85%,16.77%,20.42%,25.52%,29.76%,33.93%,37.42%,41.08%,44.34%,47.73%,50.67%,54.19%
A,A0102,LC1,"4,317 ",1.09%,2.85%,5.77%,9.15%,14.01%,19.43%,23.74%,29.40%,35.09%,39.54%,43.27%,47.21%,50.98%,54.48%,58.93%
A,A0201,LC1,"7,814 ",1.11%,3.83%,6.82%,12.39%,17.65%,22.57%,27.11%,30.96%,34.86%,37.79%,42.01%,46.03%,49.78%,54.31%,60.44%
A,A0301,LC1,"7,005 ",0.97%,3.28%,5.02%,7.15%,14.16%,17.90%,21.50%,25.28%,29.08%,33.39%,37.46%,41.06%,45.08%,49.76%,60.07%
A,A0401,LC1,"1,031 ",1.36%,3.20%,5.92%,12.12%,17.36%,22.99%,27.35%,32.59%,38.80%,44.13%,48.98%,52.47%,55.77%,57.71%,62.37%
A,A0501,LC1,"8,082 ",1.32%,3.63%,7.19%,12.06%,17.29%,22.87%,27.38%,32.57%,37.32%,41.28%,45.83%,50.20%,54.03%,57.61%,63.08%
A,A0601,LC1,"5,910 ",1.91%,4.70%,8.76%,14.52%,19.75%,24.01%,28.61%,33.38%,38.05%,42.37%,46.38%,49.86%,54.09%,57.39%,61.15%
A,A0701,LC1,"4,335 ",1.59%,5.26%,9.67%,14.33%,19.38%,23.34%,28.17%,31.49%,35.16%,39.15%,43.39%,46.71%,50.06%,54.35%,59.70%
A,A0801,LC1,"10,885 ",1.04%,3.53%,7.43%,11.47%,15.60%,20.26%,24.81%,28.91%,33.24%,38.01%,42.32%,46.27%,50.98%,54.63%,59.51%
A,A0901,LC1,"9,589 ",1.19%,3.14%,6.68%,11.37%,16.41%,21.30%,26.57%,31.80%,35.51%,40.49%,44.63%,49.41%,53.91%,58.26%,64.97%
A,A1001,LC1,"9,549 ",1.46%,4.03%,7.41%,11.85%,16.79%,20.52%,24.65%,28.55%,32.66%,36.66%,41.38%,45.47%,49.73%,53.65%,58.35%
A,A1101,LC1,"8,489 ",1.18%,3.60%,7.02%,10.78%,15.02%,18.42%,21.64%,25.62%,29.32%,32.90%,36.68%,40.51%,44.49%,48.00%,53.65%
A,A1201,LC1,"7,057 ",1.19%,4.17%,8.47%,13.16%,18.17%,23.17%,27.38%,33.36%,36.67%,39.83%,43.93%,47.98%,52.09%,56.03%,59.53%
A,A1301,LC1,"5,250 ",1.68%,4.67%,8.02%,12.02%,16.69%,21.47%,26.34%,29.49%,34.95%,38.44%,42.40%,46.04%,49.43%,51.73%,55.83%
A,A1401,LC1,"6,152 ",1.56%,3.98%,7.85%,13.98%,19.34%,24.64%,29.63%,33.39%,37.52%,41.66%,45.43%,49.32%,53.38%,56.91%,61.07%
A,A1501,LC1,"5,417 ",1.40%,4.14%,7.92%,12.22%,17.06%,22.26%,26.95%,32.08%,36.72%,40.67%,45.47%,49.90%,54.90%,58.56%,62.73%
B,B0101,LC1,"6,315 ",1.09%,3.53%,7.33%,11.88%,16.26%,20.08%,23.90%,28.41%,32.45%,36.15%,39.59%,43.20%,46.30%,48.90%,52.24%
B,B0201,LC1,"5,876 ",1.50%,4.02%,7.90%,12.70%,18.50%,21.44%,26.21%,30.94%,35.16%,38.48%,41.44%,44.45%,47.55%,50.51%,53.91%
B,B0301,LC1,"5,737 ",0.89%,3.61%,7.63%,11.66%,15.29%,18.51%,22.69%,26.69%,30.47%,34.08%,37.60%,40.14%,43.30%,45.98%,49.05%
B,B0401,LC1,"8,835 ",0.87%,2.93%,6.28%,10.79%,15.18%,19.50%,23.68%,27.64%,31.44%,35.23%,38.40%,41.27%,44.28%,46.93%,50.12%
B,B0501,LC1,"5,357 ",1.46%,3.94%,9.52%,14.58%,19.81%,23.80%,29.87%,34.55%,39.05%,42.69%,46.22%,49.84%,53.00%,56.23%,59.98%
B,B0601,LC1,"5,569 ",1.27%,3.30%,6.93%,11.40%,17.24%,22.23%,26.47%,31.19%,36.42%,41.25%,44.98%,48.45%,52.13%,55.70%,61.00%
B,B0701,LC1,"4,695 ",1.02%,3.22%,6.79%,11.91%,18.91%,23.79%,29.76%,34.63%,40.15%,43.94%,47.73%,52.06%,55.38%,59.28%,63.56%
B,B0801,LC1,"8,057 ",1.15%,3.46%,6.80%,11.38%,16.77%,21.14%,25.53%,30.84%,35.34%,39.32%,43.25%,46.18%,49.97%,53.22%,56.82%
B,B0901,LC1,"3,600 ",1.58%,3.42%,6.00%,10.44%,15.56%,21.64%,25.39%,29.94%,34.08%,37.92%,41.47%,45.86%,49.44%,53.22%,57.36%
