分區編號,投票站編號 ,地方選區,選民人數,累積投票率 Aggregate Voter Turnout Rate,,,,,,,,,,,,,,
District Code,Polling Station Code,"Geographical
Constituency",No. of Electors,08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30
A,A0101,LC1,"4,806 ",1.19%,3.08%,6.47%,10.59%,14.40%,17.89%,21.04%,24.01%,27.20%,30.36%,33.40%,36.41%,39.60%,42.49%,44.82%
A,A0102,LC1,845 ,0.59%,2.60%,3.79%,6.75%,10.53%,13.61%,17.16%,20.00%,23.91%,28.88%,33.37%,36.92%,40.12%,42.37%,45.33%
A,A0201,LC1,"7,465 ",0.76%,2.13%,5.44%,9.04%,13.13%,16.74%,19.76%,22.93%,26.98%,30.48%,34.27%,37.66%,41.45%,45.21%,51.47%
A,A0301,LC1,"7,036 ",1.28%,3.51%,6.89%,10.73%,15.26%,19.23%,22.21%,26.15%,29.72%,33.36%,37.02%,40.78%,44.74%,48.55%,54.25%
A,A0401,LC1,"3,648 ",0.74%,2.28%,4.19%,6.88%,10.47%,14.20%,17.00%,20.72%,24.97%,29.03%,33.33%,36.49%,40.87%,43.89%,49.15%
A,A0402,LC1,"1,149 ",1.74%,3.74%,5.48%,10.18%,14.01%,18.28%,21.58%,24.98%,29.85%,34.20%,38.90%,44.30%,46.56%,49.96%,56.14%
A,A0501,LC1,"8,345 ",1.03%,3.04%,5.72%,9.14%,11.74%,16.57%,20.58%,23.87%,27.69%,31.02%,34.26%,39.23%,42.74%,47.05%,53.86%
A,A0601,LC1,"6,634 ",1.01%,3.63%,7.13%,11.11%,15.21%,18.80%,22.99%,26.41%,29.73%,32.76%,36.40%,40.05%,44.26%,49.08%,54.72%
A,A0701,LC1,"7,450 ",1.61%,4.31%,7.45%,11.28%,14.72%,17.74%,21.19%,24.04%,27.22%,31.07%,35.11%,38.99%,42.89%,47.30%,52.20%
A,A0801,LC1,"7,958 ",0.96%,3.53%,7.07%,10.83%,14.92%,18.31%,22.24%,25.33%,28.68%,31.97%,35.95%,39.21%,43.29%,47.24%,51.99%
A,A0901,LC1,"10,022 ",0.90%,2.65%,6.11%,8.90%,13.24%,16.83%,20.77%,24.93%,28.85%,32.68%,36.34%,39.83%,43.71%,47.70%,53.37%
A,A1001,LC1,"11,259 ",1.05%,3.14%,5.91%,8.98%,12.43%,15.62%,18.34%,21.28%,24.71%,28.05%,31.82%,35.43%,39.40%,43.50%,49.19%
A,A1101,LC1,"5,429 ",1.57%,4.00%,6.15%,10.15%,14.13%,17.24%,19.75%,23.28%,26.30%,29.40%,33.38%,37.34%,40.50%,43.60%,47.58%
A,A1201,LC1,"7,306 ",1.08%,3.68%,6.52%,10.80%,14.78%,18.22%,22.27%,26.18%,30.41%,34.00%,37.20%,40.75%,44.37%,47.26%,50.75%
A,A1301,LC1,"3,366 ",0.42%,2.55%,5.05%,9.51%,13.28%,17.32%,20.74%,23.68%,27.42%,30.60%,32.98%,36.66%,40.34%,43.58%,47.71%
A,A1302,LC1,"1,997 ",0.70%,2.65%,4.81%,8.51%,11.22%,13.42%,15.62%,18.13%,21.03%,24.39%,26.99%,29.79%,33.20%,36.10%,38.56%
A,A1401,LC1,"7,166 ",1.47%,4.03%,7.24%,11.25%,15.42%,19.24%,23.12%,26.22%,29.70%,33.24%,36.84%,40.01%,43.58%,46.75%,51.95%
A,A1501,LC1,"6,047 ",1.47%,4.27%,7.31%,11.72%,15.71%,18.85%,23.17%,26.82%,30.36%,33.74%,37.59%,41.14%,44.85%,48.93%,53.80%
B,B0101,LC1,"6,153 ",1.22%,3.54%,6.47%,9.35%,14.74%,18.09%,19.96%,23.66%,26.39%,29.63%,32.72%,35.77%,39.53%,42.09%,45.70%
B,B0201,LC1,"5,794 ",0.64%,3.99%,6.66%,11.01%,14.50%,17.54%,20.61%,23.94%,27.70%,30.74%,34.31%,37.04%,39.92%,42.72%,45.67%
B,B0301,LC1,"5,485 ",1.08%,2.44%,4.96%,7.68%,10.32%,14.28%,17.70%,21.31%,24.38%,27.20%,30.12%,32.85%,35.42%,37.59%,41.26%
B,B0401,LC1,"7,928 ",0.98%,2.70%,5.32%,8.43%,11.49%,14.08%,16.31%,19.11%,22.14%,25.21%,27.83%,30.78%,33.22%,35.68%,39.56%
B,B0501,LC1,"5,734 ",1.38%,3.71%,7.03%,12.78%,17.32%,21.22%,24.75%,27.83%,31.65%,33.28%,37.34%,40.67%,43.69%,47.10%,51.12%
B,B0601,LC1,"5,212 ",0.92%,3.05%,5.79%,8.79%,12.93%,17.02%,20.57%,24.52%,29.18%,32.58%,35.74%,40.41%,44.09%,48.06%,56.12%
B,B0701,LC1,"5,292 ",1.40%,3.44%,5.05%,9.24%,12.76%,16.99%,21.05%,25.21%,29.82%,33.14%,36.38%,40.50%,43.86%,48.81%,54.40%
B,B0801,LC1,"5,909 ",0.86%,2.66%,5.38%,8.70%,12.78%,15.99%,19.17%,22.39%,25.76%,29.82%,33.73%,37.25%,40.55%,43.59%,48.74%
B,B0901,LC1,"2,314 ",1.64%,5.14%,6.31%,9.42%,14.09%,17.55%,20.92%,24.20%,29.30%,32.54%,34.83%,38.68%,41.83%,46.11%,50.30%
B,B0902,LC1,"2,931 ",0.96%,2.87%,5.42%,8.97%,13.65%,16.62%,19.07%,23.58%,27.74%,30.98%,34.70%,37.80%,42.41%,45.92%,49.71%
B,B1001,LC1,"4,847 ",1.03%,3.38%,5.84%,10.36%,14.55%,18.59%,22.51%,26.24%,30.18%,33.09%,36.43%,39.74%,43.88%,46.52%,51.21%
B,B1101,LC1,"5,838 ",0.19%,0.39%,0.53%,1.06%,1.59%,1.92%,2.43%,26.91%,30.49%,33.52%,36.47%,39.55%,42.60%,45.85%,49.04%
C,C0101,LC1,"6,529 ",0.89%,2.99%,6.66%,10.49%,14.43%,18.75%,23.01%,28.04%,32.46%,35.81%,40.51%,44.52%,48.68%,52.98%,59.41%
C,C0201,LC1,"4,564 ",1.03%,3.68%,7.12%,11.77%,16.21%,20.44%,25.44%,29.67%,34.33%,38.80%,42.53%,47.09%,51.80%,57.12%,63.08%
C,C0202,LC1,"7,243 ",0.99%,3.13%,6.14%,9.76%,13.89%,17.89%,21.80%,26.37%,31.12%,34.47%,38.62%,42.37%,46.15%,50.67%,57.48%
C,C0301,LC1,"5,723 ",1.29%,4.07%,7.72%,12.11%,16.60%,21.37%,25.16%,29.81%,34.06%,38.46%,44.21%,47.93%,52.42%,56.77%,63.60%
C,C0401,LC1,"5,638 ",0.89%,3.53%,5.87%,9.08%,12.10%,15.70%,19.08%,21.83%,25.19%,28.45%,32.30%,36.18%,39.41%,43.53%,47.87%
C,C0501,LC1,"13,982 ",0.89%,3.22%,6.47%,10.36%,13.72%,16.76%,19.82%,22.69%,26.38%,30.11%,33.82%,37.00%,40.37%,44.16%,49.11%
C,C0601,LC1,"7,702 ",1.65%,3.30%,6.52%,9.88%,12.57%,15.22%,17.85%,20.44%,23.36%,26.60%,29.27%,32.46%,35.00%,37.80%,40.98%
C,C0701,LC1,"9,968 ",0.74%,3.10%,6.13%,10.65%,15.52%,19.25%,22.88%,27.32%,31.24%,35.42%,40.23%,44.48%,47.85%,53.73%,62.22%
C,C0801,LC1,"8,076 ",1.10%,3.67%,6.54%,9.99%,13.08%,15.79%,18.56%,20.94%,23.74%,27.56%,31.38%,34.84%,38.78%,42.58%,48.34%
C,C0901,LC1,"8,413 ",1.06%,3.29%,5.94%,9.45%,13.76%,17.37%,21.13%,24.43%,28.72%,32.97%,36.88%,40.82%,44.62%,49.45%,57.19%
C,C1001,LC1,"10,577 ",1.15%,2.92%,6.66%,9.15%,11.91%,14.48%,17.32%,19.67%,23.01%,26.32%,30.27%,33.70%,36.76%,40.57%,46.12%
C,C1101,LC1,"10,670 ",0.92%,2.93%,5.60%,9.42%,12.80%,16.02%,19.29%,22.36%,25.85%,29.63%,33.34%,37.52%,40.70%,45.45%,51.54%
C,C1201,LC1,"9,252 ",1.07%,3.11%,5.56%,9.07%,12.11%,14.57%,17.51%,20.17%,23.78%,27.14%,31.13%,33.93%,36.64%,39.63%,43.31%
C,C1301,LC1,"7,455 ",1.54%,4.92%,7.53%,11.48%,14.69%,17.05%,20.39%,23.07%,26.22%,29.58%,32.61%,35.98%,38.55%,41.49%,44.21%
C,C1401,LC1,"11,079 ",0.06%,0.20%,0.45%,0.63%,0.84%,3.60%,19.80%,22.83%,26.18%,29.37%,32.36%,36.36%,39.69%,42.72%,46.36%
C,C1501,LC1,"6,640 ",1.30%,3.04%,5.60%,9.28%,13.60%,16.70%,19.25%,23.73%,27.53%,30.77%,34.35%,40.54%,43.01%,48.49%,56.22%
C,C1601,LC1,"2,187 ",0.78%,2.51%,4.25%,8.18%,12.85%,15.27%,19.43%,22.50%,26.93%,30.09%,33.93%,37.17%,41.70%,46.04%,50.71%
C,C1602,LC1,"4,751 ",1.01%,3.22%,6.31%,10.40%,13.22%,15.37%,17.74%,20.31%,22.65%,25.15%,28.86%,32.75%,34.88%,37.36%,40.14%
C,C1701,LC1,"7,140 ",1.34%,3.32%,6.19%,9.69%,13.53%,17.27%,22.09%,24.96%,28.15%,32.07%,35.60%,40.46%,44.27%,49.55%,54.66%
C,C1801,LC1,"5,834 ",1.46%,3.98%,6.41%,11.14%,14.72%,17.86%,21.15%,24.32%,27.01%,30.29%,33.92%,38.43%,41.40%,45.54%,49.43%
C,C1901,LC1,"7,148 ",1.45%,3.51%,5.41%,9.71%,13.02%,15.63%,19.67%,23.04%,26.79%,30.18%,34.90%,36.70%,40.29%,44.05%,49.22%
C,C2001,LC1,"11,990 ",1.14%,2.98%,6.24%,10.12%,13.85%,17.72%,21.31%,25.15%,28.93%,32.23%,35.49%,39.78%,43.41%,46.99%,54.01%
C,C2002,LC1,"7,467 ",1.06%,3.11%,5.87%,9.32%,11.95%,14.92%,18.05%,20.97%,24.90%,28.00%,31.23%,35.17%,38.60%,41.93%,45.65%
C,C2101,LC1,"3,213 ",0.93%,3.30%,5.14%,9.96%,13.29%,16.96%,19.95%,23.37%,27.14%,31.40%,34.20%,38.31%,41.74%,44.72%,50.42%
C,C2201,LC1,"11,511 ",1.25%,3.63%,6.87%,10.40%,13.89%,17.69%,20.73%,23.53%,27.62%,30.73%,34.82%,38.13%,41.40%,46.49%,49.78%
C,C2301,LC1,"6,789 ",1.00%,3.24%,4.71%,10.66%,14.35%,17.90%,22.29%,26.40%,30.80%,35.22%,39.33%,43.23%,46.28%,49.58%,53.62%
C,C2401,LC1,"5,589 ",1.50%,4.26%,8.18%,12.76%,16.25%,19.82%,24.26%,27.63%,31.87%,35.61%,39.56%,43.17%,46.00%,49.19%,52.73%
C,C2501,LC1,"6,802 ",1.53%,3.87%,6.57%,9.56%,13.20%,16.51%,20.11%,23.13%,26.48%,29.92%,33.96%,37.89%,41.28%,44.59%,49.04%
C,C2701,LC1,"9,168 ",1.07%,3.03%,6.20%,9.41%,13.82%,18.10%,21.40%,25.46%,30.00%,33.56%,38.67%,43.55%,47.14%,51.96%,60.37%
C,C2801,LC1,"13,224 ",0.85%,3.16%,6.06%,10.47%,13.88%,17.76%,21.82%,25.31%,29.89%,33.88%,37.66%,41.56%,44.96%,49.44%,55.38%
C,C2901,LC1,"5,901 ",0.97%,2.73%,5.44%,8.46%,11.42%,14.59%,17.40%,20.20%,22.76%,25.52%,28.72%,32.67%,36.15%,39.98%,45.20%
C,C2902,LC1,"6,109 ",0.92%,3.75%,7.02%,10.79%,13.73%,17.12%,20.54%,23.77%,26.91%,30.58%,34.69%,38.39%,41.97%,46.13%,50.79%
C,C3001,LC1,"11,781 ",1.19%,2.04%,5.89%,10.27%,13.97%,17.57%,20.61%,24.00%,27.41%,30.98%,34.79%,38.32%,42.52%,45.71%,50.55%
C,C3101,LC1,"4,487 ",1.34%,3.48%,6.64%,9.58%,12.10%,14.75%,16.94%,19.61%,22.29%,25.65%,28.44%,32.32%,34.95%,38.38%,42.32%
C,C3102,LC1,"3,397 ",1.15%,3.53%,6.01%,9.98%,13.75%,17.10%,20.14%,23.43%,26.46%,30.82%,34.03%,38.12%,41.60%,45.66%,49.60%
C,C3201,LC1,"7,789 ",1.26%,3.42%,6.65%,9.54%,12.58%,15.10%,17.26%,20.23%,23.40%,26.31%,30.71%,33.75%,37.24%,42.01%,48.13%
C,C3301,LC1,"5,102 ",1.59%,4.63%,7.68%,10.68%,13.58%,16.33%,18.76%,21.32%,24.23%,27.38%,30.85%,34.50%,37.79%,40.89%,44.34%
C,C3302,LC1,"6,557 ",1.28%,4.30%,7.08%,11.50%,14.08%,16.17%,19.12%,21.93%,25.18%,28.63%,32.55%,35.46%,38.39%,41.65%,44.53%
C,C3401,LC1,"6,594 ",1.23%,3.29%,6.13%,10.07%,13.86%,16.50%,19.91%,22.87%,26.25%,30.03%,33.74%,37.02%,39.92%,43.93%,50.35%
C,C3501,LC1,"6,751 ",1.02%,3.10%,6.01%,9.84%,13.44%,16.75%,20.80%,24.22%,28.34%,31.68%,35.19%,38.76%,43.02%,47.33%,53.13%
C,C3601,LC1,"8,034 ",1.28%,3.58%,6.15%,9.80%,12.91%,15.38%,18.68%,21.28%,24.98%,28.67%,32.33%,36.10%,38.88%,42.59%,47.11%
C,C3701,LC1,"6,379 ",1.07%,3.21%,5.39%,9.16%,11.40%,14.44%,17.56%,20.11%,24.24%,27.94%,31.57%,35.07%,38.03%,41.68%,46.46%
D,D0101,LC1,"10,227 ",0.97%,3.56%,6.16%,9.03%,12.37%,15.54%,18.67%,22.25%,25.49%,29.25%,32.77%,36.55%,41.18%,45.66%,51.27%
