dc,ps,gc,electors,0830,0930,1030,1130,1230,1330,1430,1530,1630,1730,1830,1930,2030,2130,2230
A,A01,A0101,"4,375 ",0.73%,2.08%,4.48%,7.57%,11.36%,14.19%,17.07%,19.95%,23.38%,25.71%,28.25%,30.10%,31.79%,34.54%,36.23%
A,A01,A0102,839 ,1.07%,1.67%,3.22%,5.01%,8.82%,10.97%,13.59%,16.45%,20.14%,21.57%,23.96%,27.06%,28.25%,32.30%,34.21%
A,A02,A0201,"7,038 ",0.67%,1.95%,4.11%,6.78%,9.69%,11.98%,14.34%,16.92%,19.49%,21.99%,24.98%,27.68%,29.75%,32.38%,35.65%
A,A03,A0301,"6,831 ",0.75%,1.80%,3.57%,5.58%,8.12%,9.98%,12.63%,14.71%,17.29%,19.63%,21.96%,24.52%,26.20%,28.91%,32.53%
A,A04,A0401,"3,812 ",0.71%,2.52%,4.56%,7.19%,10.41%,13.80%,17.31%,20.57%,25.31%,28.93%,31.69%,35.94%,37.93%,41.13%,44.23%
A,A04,A0402,"1,171 ",1.71%,4.44%,6.15%,10.33%,14.94%,20.41%,23.57%,26.81%,31.85%,34.24%,39.54%,45.43%,49.10%,52.43%,56.28%
A,A05,A0501,"8,122 ",0.53%,1.71%,3.34%,5.81%,8.53%,10.96%,13.25%,15.61%,17.74%,20.35%,22.72%,25.18%,27.55%,30.37%,33.83%
A,A06,A0601,"6,795 ",1.75%,4.24%,7.55%,11.36%,15.23%,18.43%,22.16%,25.06%,28.21%,31.96%,34.86%,38.32%,41.77%,44.99%,47.92%
A,A07,A0701,"7,605 ",1.54%,5.09%,8.76%,13.56%,18.12%,20.59%,23.92%,27.21%,30.43%,33.52%,37.73%,40.45%,43.80%,46.69%,49.68%
A,A08,A0801,"7,633 ",0.81%,3.20%,6.59%,10.43%,14.02%,16.74%,19.82%,23.06%,26.39%,29.74%,32.70%,34.93%,37.90%,40.88%,44.06%
A,A09,A0901,"9,668 ",0.71%,2.23%,4.91%,8.24%,11.56%,14.22%,17.63%,21.09%,24.14%,26.76%,30.06%,33.11%,36.21%,39.52%,43.11%
A,A10,A1001,"7,869 ",0.81%,2.41%,4.89%,7.28%,9.57%,11.62%,13.95%,16.34%,19.33%,22.06%,24.86%,26.80%,28.99%,31.38%,33.61%
A,A11,A1101,"7,701 ",1.09%,3.12%,6.03%,9.14%,12.30%,14.88%,17.28%,19.83%,22.69%,25.24%,27.70%,30.19%,32.31%,34.59%,36.46%
