dc,ps,gc,electors,0830,0930,1030,1130,1230,1330,1430,1530,1630,1730,1830,1930,2030,2130,2230
N,N0101,LC5,"10,164 ",60 ,213 ,490 ,886 ,"1,310 ","1,687 ","2,033 ","2,363 ","2,719 ","3,049 ","3,325 ","3,618 ","3,900 ","4,200 ","4,478 "
N,N0201,LC5,"3,181 ",15 ,59 ,120 ,217 ,322 ,406 ,517 ,608 ,707 ,785 ,872 ,990 ,"1,081 ","1,165 ","1,247 "
N,N0202,LC5,"2,999 ",18 ,62 ,176 ,284 ,420 ,540 ,640 ,745 ,"1,025 ","1,093 ","1,176 ","1,255 ","1,336 ","1,461 ","1,577 "
N,N0301,LC5,"11,423 ",61 ,232 ,544 ,896 ,"1,193 ","1,457 ","1,753 ","2,101 ","2,410 ","2,754 ","3,061 ","3,424 ","3,754 ","4,031 ","4,377 "
N,N0401,LC5,"11,161 ",63 ,295 ,629 ,"1,050 ","1,471 ","1,850 ","2,327 ","2,723 ","3,101 ","3,476 ","3,811 ","4,237 ","4,621 ","4,997 ","5,361 "
N,N0501,LC5,"11,578 ",65 ,235 ,484 ,839 ,"1,180 ","1,491 ","1,813 ","2,173 ","2,512 ","2,866 ","3,214 ","3,612 ","3,990 ","4,329 ","4,725 "
N,N0601,LC5,"5,124 ",55 ,164 ,303 ,463 ,697 ,869 ,"1,085 ","1,280 ","1,484 ","1,672 ","1,869 ","2,068 ","2,265 ","2,419 ","2,594 "
N,N0602,LC5,"8,132 ",48 ,217 ,413 ,722 ,970 ,"1,203 ","1,442 ","1,677 ","1,912 ","2,161 ","2,401 ","2,685 ","2,942 ","3,203 ","3,539 "
N,N0701,LC5,"9,828 ",82 ,304 ,594 ,989 ,"1,327 ","1,686 ","2,067 ","2,451 ","2,756 ","3,107 ","3,422 ","3,782 ","4,089 ","4,373 ","4,736 "
N,N0801,LC5,"3,907 ",46 ,112 ,227 ,382 ,591 ,771 ,954 ,"1,119 ","1,312 ","1,479 ","1,632 ","1,777 ","1,921 ","2,078 ","2,261 "
N,N0802,LC5,"2,657 ",13 ,80 ,164 ,251 ,342 ,454 ,569 ,691 ,818 ,945 ,"1,042 ","1,163 ","1,260 ","1,390 ","1,520 "
N,N0901,LC5,"8,575 ",58 ,200 ,443 ,722 ,972 ,"1,195 ","1,435 ","1,644 ","1,858 ","2,088 ","2,349 ","2,592 ","2,881 ","3,093 ","3,361 "
N,N1001,LC5,"7,221 ",30 ,105 ,283 ,473 ,709 ,992 ,"1,237 ","1,435 ","1,600 ","1,796 ","2,034 ","2,255 ","2,446 ","2,716 ","2,975 "
N,N1101,LC5,"2,747 ",30 ,42 ,86 ,116 ,218 ,267 ,337 ,413 ,470 ,526 ,582 ,645 ,697 ,752 ,817 
N,N1102,LC5,"1,797 ",13 ,39 ,88 ,135 ,174 ,226 ,269 ,306 ,381 ,434 ,492 ,530 ,559 ,598 ,629 
N,N1103,LC5,"3,213 ",21 ,50 ,121 ,203 ,293 ,363 ,454 ,523 ,588 ,678 ,750 ,829 ,896 ,957 ,"1,032 "
N,N1104,LC5,"2,015 ",34 ,80 ,144 ,219 ,292 ,376 ,439 ,519 ,590 ,658 ,734 ,810 ,862 ,913 ,975 
N,N1201,LC5,"11,002 ",79 ,307 ,682 ,"1,085 ","1,467 ","1,805 ","2,116 ","2,441 ","2,777 ","3,106 ","3,417 ","3,755 ","4,053 ","4,350 ","4,623 "
N,N1301,LC5,"1,609 ",7 ,20 ,47 ,85 ,136 ,174 ,216 ,252 ,301 ,334 ,380 ,424 ,459 ,509 ,550 
N,N1302,LC5,"5,117 ",23 ,119 ,241 ,465 ,665 ,870 ,"1,067 ","1,273 ","1,456 ","1,650 ","1,878 ","2,068 ","2,211 ","2,372 ","2,597 "
N,N1303,LC5,"2,625 ",31 ,86 ,173 ,267 ,366 ,459 ,536 ,633 ,736 ,832 ,923 ,"1,001 ","1,114 ","1,216 ","1,278 "
N,N1401,LC5,"10,233 ",69 ,185 ,437 ,760 ,"1,102 ","1,421 ","1,728 ","2,058 ","2,390 ","2,722 ","3,018 ","3,350 ","3,637 ","3,967 ","4,336 "
N,N1501,LC5,"8,296 ",54 ,169 ,391 ,605 ,884 ,"1,114 ","1,382 ","1,586 ","1,825 ","2,075 ","2,337 ","2,580 ","2,863 ","3,114 ","3,361 "
N,N1601,LC5,"1,309 ",2 ,9 ,25 ,54 ,82 ,106 ,122 ,136 ,155 ,175 ,195 ,215 ,244 ,255 ,274 
N,N1602,LC5,"2,085 ",9 ,39 ,97 ,170 ,245 ,287 ,311 ,342 ,367 ,392 ,427 ,458 ,480 ,497 ,521 
N,N1603,LC5,105 ,1 ,6 ,13 ,14 ,15 ,15 ,17 ,19 ,21 ,24 ,29 ,29 ,29 ,29 ,29 
N,N1604,LC5,"3,442 ",15 ,91 ,202 ,372 ,480 ,596 ,695 ,775 ,839 ,929 ,"1,038 ","1,143 ","1,269 ","1,403 ","1,470 "
N,N1605,LC5,72 ,1 ,1 ,5 ,11 ,17 ,20 ,22 ,24 ,28 ,28 ,30 ,31 ,31 ,34 ,34 
N,N1606,LC5,"1,475 ",9 ,35 ,84 ,144 ,201 ,237 ,272 ,304 ,332 ,360 ,393 ,435 ,471 ,494 ,526 
N,N1701,LC5,"6,617 ",37 ,107 ,234 ,417 ,628 ,842 ,"1,045 ","1,260 ","1,432 ","1,614 ","1,809 ","2,010 ","2,207 ","2,438 ","2,695 "
N,N1702,LC5,"2,645 ",35 ,86 ,177 ,317 ,409 ,479 ,652 ,764 ,833 ,959 ,"1,051 ","1,120 ","1,211 ","1,307 ","1,382 "
N,N1801,LC5,"1,551 ",5 ,41 ,57 ,100 ,150 ,216 ,249 ,295 ,337 ,368 ,406 ,447 ,472 ,494 ,531 
N,N1802,LC5,"1,730 ",14 ,29 ,75 ,105 ,163 ,211 ,269 ,295 ,347 ,404 ,452 ,509 ,561 ,595 ,637 
N,N1803,LC5,"2,015 ",20 ,50 ,86 ,127 ,172 ,227 ,274 ,310 ,354 ,412 ,469 ,516 ,555 ,606 ,656 
N,N1804,LC5,"2,486 ",15 ,55 ,116 ,178 ,247 ,309 ,387 ,443 ,498 ,560 ,629 ,680 ,715 ,786 ,854 
N,N1805,LC5,610 ,1 ,16 ,38 ,70 ,91 ,109 ,120 ,134 ,146 ,156 ,182 ,200 ,209 ,228 ,247 
P,P0101,LC5,"6,216 ",55 ,169 ,330 ,532 ,705 ,901 ,"1,101 ","1,290 ","1,467 ","1,618 ","1,814 ","2,002 ","2,171 ","2,311 ","2,420 "
P,P0201,LC5,"7,544 ",42 ,198 ,429 ,781 ,"1,163 ","1,452 ","1,838 ","2,182 ","2,501 ","2,750 ","3,051 ","3,368 ","3,672 ","3,929 ","4,198 "
P,P0301,LC5,"3,342 ",22 ,96 ,177 ,337 ,468 ,622 ,776 ,888 ,"1,008 ","1,130 ","1,245 ","1,383 ","1,498 ","1,627 ","1,776 "
P,P0302,LC5,"5,456 ",43 ,140 ,316 ,466 ,657 ,846 ,"1,003 ","1,177 ","1,347 ","1,519 ","1,678 ","1,846 ","2,035 ","2,174 ","2,358 "
P,P0401,LC5,"8,662 ",52 ,179 ,416 ,665 ,912 ,"1,152 ","1,413 ","1,666 ","1,906 ","2,173 ","2,392 ","2,645 ","2,885 ","3,114 ","3,339 "
P,P0501,LC5,"11,399 ",74 ,230 ,475 ,769 ,"1,131 ","1,397 ","1,742 ","2,091 ","2,438 ","2,771 ","3,058 ","3,490 ","3,797 ","4,171 ","4,572 "
P,P0601,LC5,"13,201 ",65 ,246 ,566 ,996 ,"1,441 ","1,908 ","2,329 ","2,727 ","3,117 ","3,501 ","3,912 ","4,340 ","4,780 ","5,213 ","5,630 "
P,P0701,LC5,"8,982 ",78 ,230 ,556 ,872 ,"1,204 ","1,491 ","1,845 ","2,123 ","2,415 ","2,700 ","2,981 ","3,262 ","3,525 ","3,811 ","4,022 "
P,P0801,LC5,"7,465 ",75 ,228 ,406 ,667 ,920 ,"1,127 ","1,333 ","1,544 ","1,718 ","1,937 ","2,152 ","2,424 ","2,655 ","2,844 ","3,081 "
P,P0802,LC5,"1,170 ",14 ,60 ,99 ,146 ,190 ,229 ,293 ,333 ,385 ,446 ,481 ,516 ,561 ,609 ,655 
P,P0901,LC5,"8,433 ",84 ,250 ,550 ,852 ,"1,102 ","1,434 ","1,681 ","1,905 ","2,188 ","2,441 ","2,730 ","3,050 ","3,313 ","3,545 ","3,812 "
P,P1001,LC5,"5,762 ",39 ,125 ,272 ,477 ,749 ,"1,032 ","1,258 ","1,482 ","1,727 ","1,921 ","2,135 ","2,342 ","2,530 ","2,728 ","2,951 "
P,P1002,LC5,"2,185 ",16 ,68 ,137 ,238 ,336 ,413 ,522 ,608 ,695 ,775 ,866 ,946 ,"1,023 ","1,081 ","1,156 "
P,P1101,LC5,"11,580 ",81 ,307 ,569 ,"1,032 ","1,481 ","1,841 ","2,217 ","2,628 ","2,980 ","3,373 ","3,740 ","4,181 ","4,558 ","4,932 ","5,372 "
P,P1201,LC5,"7,393 ",54 ,148 ,369 ,663 ,"1,012 ","1,245 ","1,522 ","1,830 ","2,152 ","2,381 ","2,681 ","2,940 ","3,173 ","3,491 ","3,876 "
P,P1202,LC5,"1,946 ",41 ,78 ,122 ,177 ,220 ,285 ,353 ,417 ,503 ,570 ,631 ,712 ,781 ,839 ,917 
P,P1301,LC5,642 ,11 ,32 ,52 ,96 ,123 ,150 ,182 ,197 ,216 ,240 ,262 ,285 ,303 ,327 ,344 
P,P1302,LC5,"5,873 ",39 ,105 ,226 ,420 ,608 ,778 ,964 ,"1,140 ","1,307 ","1,485 ","1,652 ","1,813 ","1,965 ","2,178 ","2,325 "
P,P1303,LC5,"1,405 ",20 ,41 ,74 ,125 ,183 ,220 ,271 ,316 ,365 ,401 ,461 ,515 ,568 ,629 ,696 
P,P1401,LC5,"10,432 ",40 ,168 ,375 ,674 ,981 ,"1,265 ","1,604 ","1,929 ","2,250 ","2,549 ","2,893 ","3,202 ","3,535 ","3,842 ","4,121 "
P,P1501,LC5,"10,790 ",55 ,185 ,395 ,732 ,"1,067 ","1,357 ","1,681 ","1,999 ","2,303 ","2,577 ","2,924 ","3,264 ","3,559 ","3,894 ","4,198 "
P,P1601,LC5,"7,479 ",102 ,238 ,425 ,718 ,995 ,"1,339 ","1,667 ","2,029 ","2,351 ","2,651 ","2,953 ","3,277 ","3,551 ","3,822 ","4,053 "
P,P1701,LC5,"4,748 ",16 ,81 ,189 ,345 ,560 ,731 ,928 ,"1,127 ","1,303 ","1,463 ","1,629 ","1,800 ","1,946 ","2,126 ","2,346 "
P,P1702,LC5,"1,696 ",21 ,56 ,112 ,166 ,241 ,292 ,365 ,412 ,476 ,553 ,623 ,676 ,717 ,765 ,804 
P,P1703,LC5,"1,844 ",12 ,50 ,98 ,155 ,229 ,293 ,395 ,489 ,537 ,622 ,674 ,743 ,799 ,864 ,946 
P,P1801,LC5,"2,798 ",33 ,91 ,178 ,254 ,366 ,464 ,566 ,636 ,715 ,796 ,899 ,974 ,"1,077 ","1,166 ","1,284 "
P,P1802,LC5,"4,274 ",43 ,120 ,221 ,359 ,506 ,676 ,794 ,926 ,"1,055 ","1,218 ","1,371 ","1,500 ","1,630 ","1,767 ","1,905 "
P,P1803,LC5,"1,265 ",14 ,29 ,63 ,124 ,171 ,209 ,275 ,320 ,394 ,449 ,503 ,544 ,585 ,649 ,704 
P,P1901,LC5,"5,369 ",43 ,109 ,213 ,374 ,539 ,725 ,907 ,"1,087 ","1,303 ","1,502 ","1,674 ","1,872 ","2,040 ","2,265 ","2,503 "
P,P1902,LC5,136 ,2 ,6 ,11 ,14 ,17 ,19 ,22 ,24 ,27 ,31 ,36 ,36 ,38 ,40 ,40 
P,P1903,LC5,247 ,9 ,30 ,40 ,55 ,61 ,64 ,65 ,65 ,65 ,65 ,67 ,71 ,73 ,73 ,73 
Q,Q0101,LC5,"8,655 ",75 ,251 ,533 ,835 ,"1,142 ","1,488 ","1,878 ","2,103 ","2,332 ","2,529 ","2,826 ","3,019 ","3,262 ","3,472 ","3,705 "
Q,Q0102,LC5,"1,825 ",14 ,64 ,139 ,202 ,251 ,316 ,356 ,392 ,431 ,456 ,516 ,554 ,606 ,665 ,731 
Q,Q0201,LC5,"6,928 ",24 ,111 ,296 ,526 ,763 ,"1,027 ","1,236 ","1,448 ","1,655 ","1,867 ","2,104 ","2,302 ","2,459 ","2,628 ","2,820 "
Q,Q0401,LC5,"4,855 ",30 ,99 ,217 ,351 ,610 ,770 ,954 ,"1,103 ","1,270 ","1,428 ","1,565 ","1,686 ","1,805 ","1,952 ","2,114 "
Q,Q0501,LC5,"4,114 ",18 ,67 ,159 ,298 ,469 ,608 ,804 ,937 ,"1,089 ","1,190 ","1,338 ","1,460 ","1,564 ","1,679 ","1,778 "
Q,Q0601,LC5,"8,586 ",62 ,214 ,444 ,686 ,948 ,"1,226 ","1,492 ","1,776 ","2,059 ","2,359 ","2,685 ","2,953 ","3,242 ","3,563 ","3,918 "
Q,Q0701,LC5,"6,702 ",53 ,215 ,470 ,746 ,"1,121 ","1,469 ","1,807 ","2,148 ","2,477 ","2,791 ","3,108 ","3,402 ","3,660 ","3,919 ","4,246 "
Q,Q0801,LC5,"5,663 ",21 ,97 ,234 ,424 ,632 ,830 ,"1,052 ","1,309 ","1,540 ","1,751 ","1,990 ","2,192 ","2,357 ","2,711 ","2,845 "
Q,Q0901,LC5,"8,037 ",41 ,121 ,292 ,513 ,690 ,872 ,"1,101 ","1,329 ","1,523 ","1,736 ","1,960 ","2,270 ","2,520 ","2,767 ","3,081 "
Q,Q1001,LC5,"10,408 ",42 ,210 ,425 ,751 ,"1,015 ","1,309 ","1,687 ","1,987 ","2,313 ","2,609 ","2,963 ","3,302 ","3,587 ","3,936 ","4,274 "
Q,Q1101,LC5,"8,977 ",23 ,153 ,367 ,675 ,996 ,"1,328 ","1,703 ","2,062 ","2,494 ","2,785 ","3,114 ","3,440 ","3,714 ","4,009 ","4,413 "
Q,Q1201,LC5,"9,616 ",59 ,195 ,484 ,895 ,"1,256 ","1,582 ","1,949 ","2,367 ","2,718 ","3,100 ","3,486 ","3,807 ","4,187 ","4,569 ","4,863 "
Q,Q1301,LC5,"5,648 ",40 ,111 ,301 ,563 ,790 ,"1,078 ","1,379 ","1,617 ","1,916 ","2,215 ","2,459 ","2,706 ","2,904 ","3,156 ","3,388 "
Q,Q1401,LC5,"9,533 ",45 ,172 ,424 ,775 ,"1,189 ","1,581 ","2,006 ","2,473 ","2,927 ","3,307 ","3,700 ","4,071 ","4,435 ","4,807 ","5,193 "
Q,Q1501,LC5,"2,012 ",11 ,38 ,122 ,163 ,238 ,310 ,377 ,457 ,532 ,588 ,674 ,737 ,802 ,888 ,946 
Q,Q1502,LC5,"3,653 ",35 ,114 ,237 ,342 ,485 ,634 ,751 ,848 ,965 ,"1,094 ","1,229 ","1,347 ","1,450 ","1,575 ","1,674 "
Q,Q1601,LC5,"10,701 ",71 ,259 ,572 ,908 ,"1,205 ","1,482 ","1,752 ","2,004 ","2,303 ","2,634 ","2,968 ","3,319 ","3,669 ","3,958 ","4,257 "
Q,Q1701,LC5,"13,180 ",74 ,270 ,545 ,994 ,"1,339 ","1,776 ","2,125 ","2,541 ","2,930 ","3,327 ","3,736 ","4,145 ","4,507 ","4,892 ","5,303 "
Q,Q1801,LC5,"11,084 ",85 ,353 ,677 ,"1,121 ","1,645 ","2,128 ","2,537 ","2,986 ","3,403 ","3,822 ","4,225 ","4,626 ","4,977 ","5,339 ","5,752 "
Q,Q1901,LC5,"11,337 ",110 ,358 ,709 ,"1,217 ","1,743 ","2,308 ","2,858 ","3,304 ","3,808 ","4,270 ","4,731 ","5,194 ","5,675 ","6,116 ","6,460 "
Q,Q1902,LC5,"4,465 ",37 ,100 ,224 ,382 ,599 ,780 ,978 ,"1,190 ","1,414 ","1,609 ","1,792 ","1,966 ","2,130 ","2,307 ","2,506 "
Q,Q2001,LC5,"11,991 ",74 ,277 ,683 ,"1,040 ","1,469 ","1,833 ","2,173 ","2,525 ","2,926 ","3,321 ","3,765 ","4,137 ","4,511 ","4,884 ","5,278 "
Q,Q2101,LC5,"11,238 ",104 ,353 ,675 ,"1,094 ","1,458 ","1,842 ","2,210 ","2,598 ","2,973 ","3,347 ","3,724 ","4,153 ","4,561 ","4,949 ","5,311 "
Q,Q2201,LC5,"9,792 ",100 ,317 ,669 ,"1,116 ","1,552 ","1,930 ","2,314 ","2,692 ","3,072 ","3,472 ","3,822 ","4,160 ","4,493 ","4,869 ","5,099 "
Q,Q2301,LC5,"11,779 ",86 ,359 ,769 ,"1,216 ","1,712 ","2,251 ","2,749 ","3,181 ","3,613 ","4,041 ","4,444 ","4,846 ","5,211 ","5,590 ","6,022 "
Q,Q2401,LC5,"12,271 ",51 ,177 ,404 ,720 ,"1,024 ","1,272 ","1,580 ","1,865 ","2,173 ","2,516 ","2,866 ","3,290 ","3,587 ","4,045 ","4,513 "
Q,Q2501,LC5,"11,316 ",98 ,281 ,625 ,"1,041 ","1,468 ","1,796 ","2,185 ","2,608 ","2,984 ","3,362 ","3,750 ","4,134 ","4,453 ","4,851 ","5,343 "
Q,Q2601,LC5,"2,608 ",14 ,75 ,157 ,303 ,414 ,544 ,659 ,779 ,881 ,"1,026 ","1,167 ","1,337 ","1,465 ","1,596 ","1,749 "
Q,Q2602,LC5,"8,036 ",51 ,165 ,389 ,669 ,976 ,"1,419 ","1,732 ","2,077 ","2,394 ","2,771 ","3,063 ","3,512 ","3,844 ","4,209 ","4,831 "
R,R0101,LC5,"3,468 ",18 ,80 ,170 ,294 ,445 ,573 ,668 ,810 ,926 ,"1,070 ","1,197 ","1,336 ","1,460 ","1,546 ","1,659 "
R,R0102,LC5,"5,872 ",33 ,138 ,293 ,532 ,755 ,962 ,"1,198 ","1,482 ","1,698 ","1,926 ","2,149 ","2,376 ","2,559 ","2,772 ","3,015 "
R,R0201,LC5,"7,647 ",52 ,182 ,400 ,654 ,897 ,"1,085 ","1,330 ","1,518 ","1,751 ","1,967 ","2,156 ","2,410 ","2,612 ","2,803 ","3,000 "
R,R0301,LC5,"11,259 ",35 ,179 ,435 ,770 ,"1,154 ","1,450 ","1,733 ","2,015 ","2,319 ","2,650 ","2,944 ","3,285 ","3,591 ","3,835 ","4,131 "
R,R0401,LC5,"8,872 ",91 ,298 ,639 ,"1,088 ","1,604 ","1,969 ","2,420 ","2,833 ","3,296 ","3,668 ","4,037 ","4,407 ","4,721 ","5,063 ","5,485 "
R,R0501,LC5,"8,342 ",85 ,234 ,530 ,864 ,"1,266 ","1,586 ","1,975 ","2,365 ","2,716 ","3,065 ","3,381 ","3,713 ","4,040 ","4,397 ","4,702 "
