分區編號,投票站編號 ,地方選區,選民人數*,累積投票率* Aggregate Voter Turnout Rate*,,,,,,,,,,,,,,
District Code,Polling Station Code,"Geographical
Constituency",No. of Electors*,08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30
N,N0101,LC5,"10,164 ",0.59%,2.10%,4.82%,8.72%,12.89%,16.60%,20.00%,23.25%,26.75%,30.00%,32.71%,35.60%,38.37%,41.32%,44.06%
N,N0201,LC5,"3,181 ",0.47%,1.85%,3.77%,6.82%,10.12%,12.76%,16.25%,19.11%,22.23%,24.68%,27.41%,31.12%,33.98%,36.62%,39.20%
N,N0202,LC5,"2,999 ",0.60%,2.07%,5.87%,9.47%,14.00%,18.01%,21.34%,24.84%,34.18%,36.45%,39.21%,41.85%,44.55%,48.72%,52.58%
N,N0301,LC5,"11,423 ",0.53%,2.03%,4.76%,7.84%,10.44%,12.75%,15.35%,18.39%,21.10%,24.11%,26.80%,29.97%,32.86%,35.29%,38.32%
N,N0401,LC5,"11,161 ",0.56%,2.64%,5.64%,9.41%,13.18%,16.58%,20.85%,24.40%,27.78%,31.14%,34.15%,37.96%,41.40%,44.77%,48.03%
N,N0501,LC5,"11,578 ",0.56%,2.03%,4.18%,7.25%,10.19%,12.88%,15.66%,18.77%,21.70%,24.75%,27.76%,31.20%,34.46%,37.39%,40.81%
N,N0601,LC5,"5,124 ",1.07%,3.20%,5.91%,9.04%,13.60%,16.96%,21.17%,24.98%,28.96%,32.63%,36.48%,40.36%,44.20%,47.21%,50.62%
N,N0602,LC5,"8,132 ",0.59%,2.67%,5.08%,8.88%,11.93%,14.79%,17.73%,20.62%,23.51%,26.57%,29.53%,33.02%,36.18%,39.39%,43.52%
N,N0701,LC5,"9,828 ",0.83%,3.09%,6.04%,10.06%,13.50%,17.16%,21.03%,24.94%,28.04%,31.61%,34.82%,38.48%,41.61%,44.50%,48.19%
N,N0801,LC5,"3,907 ",1.18%,2.87%,5.81%,9.78%,15.13%,19.73%,24.42%,28.64%,33.58%,37.86%,41.77%,45.48%,49.17%,53.19%,57.87%
N,N0802,LC5,"2,657 ",0.49%,3.01%,6.17%,9.45%,12.87%,17.09%,21.42%,26.01%,30.79%,35.57%,39.22%,43.77%,47.42%,52.31%,57.21%
N,N0901,LC5,"8,575 ",0.68%,2.33%,5.17%,8.42%,11.34%,13.94%,16.73%,19.17%,21.67%,24.35%,27.39%,30.23%,33.60%,36.07%,39.20%
N,N1001,LC5,"7,221 ",0.42%,1.45%,3.92%,6.55%,9.82%,13.74%,17.13%,19.87%,22.16%,24.87%,28.17%,31.23%,33.87%,37.61%,41.20%
N,N1101,LC5,"2,747 ",1.09%,1.53%,3.13%,4.22%,7.94%,9.72%,12.27%,15.03%,17.11%,19.15%,21.19%,23.48%,25.37%,27.38%,29.74%
N,N1102,LC5,"1,797 ",0.72%,2.17%,4.90%,7.51%,9.68%,12.58%,14.97%,17.03%,21.20%,24.15%,27.38%,29.49%,31.11%,33.28%,35.00%
N,N1103,LC5,"3,213 ",0.65%,1.56%,3.77%,6.32%,9.12%,11.30%,14.13%,16.28%,18.30%,21.10%,23.34%,25.80%,27.89%,29.79%,32.12%
N,N1104,LC5,"2,015 ",1.69%,3.97%,7.15%,10.87%,14.49%,18.66%,21.79%,25.76%,29.28%,32.66%,36.43%,40.20%,42.78%,45.31%,48.39%
N,N1201,LC5,"11,002 ",0.72%,2.79%,6.20%,9.86%,13.33%,16.41%,19.23%,22.19%,25.24%,28.23%,31.06%,34.13%,36.84%,39.54%,42.02%
N,N1301,LC5,"1,609 ",0.44%,1.24%,2.92%,5.28%,8.45%,10.81%,13.42%,15.66%,18.71%,20.76%,23.62%,26.35%,28.53%,31.63%,34.18%
N,N1302,LC5,"5,117 ",0.45%,2.33%,4.71%,9.09%,13.00%,17.00%,20.85%,24.88%,28.45%,32.25%,36.70%,40.41%,43.21%,46.36%,50.75%
N,N1303,LC5,"2,625 ",1.18%,3.28%,6.59%,10.17%,13.94%,17.49%,20.42%,24.11%,28.04%,31.70%,35.16%,38.13%,42.44%,46.32%,48.69%
N,N1401,LC5,"10,233 ",0.67%,1.81%,4.27%,7.43%,10.77%,13.89%,16.89%,20.11%,23.36%,26.60%,29.49%,32.74%,35.54%,38.77%,42.37%
N,N1501,LC5,"8,296 ",0.65%,2.04%,4.71%,7.29%,10.66%,13.43%,16.66%,19.12%,22.00%,25.01%,28.17%,31.10%,34.51%,37.54%,40.51%
N,N1601,LC5,"1,309 ",0.15%,0.69%,1.91%,4.13%,6.26%,8.10%,9.32%,10.39%,11.84%,13.37%,14.90%,16.42%,18.64%,19.48%,20.93%
N,N1602,LC5,"2,085 ",0.43%,1.87%,4.65%,8.15%,11.75%,13.76%,14.92%,16.40%,17.60%,18.80%,20.48%,21.97%,23.02%,23.84%,24.99%
N,N1603,LC5,105 ,0.95%,5.71%,12.38%,13.33%,14.29%,14.29%,16.19%,18.10%,20.00%,22.86%,27.62%,27.62%,27.62%,27.62%,27.62%
N,N1604,LC5,"3,442 ",0.44%,2.64%,5.87%,10.81%,13.95%,17.32%,20.19%,22.52%,24.38%,26.99%,30.16%,33.21%,36.87%,40.76%,42.71%
N,N1605,LC5,72 ,1.39%,1.39%,6.94%,15.28%,23.61%,27.78%,30.56%,33.33%,38.89%,38.89%,41.67%,43.06%,43.06%,47.22%,47.22%
